site,scenario,period,phase,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events
nist,clean,validation,normal,multiple_imputation_flexible,3,1899,0.07995526185827818,0.10275167463667885,0.27540810953133227,0.39968404423380727,0.46129541864139023,0.12506853634555304,0
nist,clean,validation,normal,multiple_imputation_flexible,4,1899,0.0954182142969386,0.1200299848196762,0.25223802001053186,0.3691416535018431,0.42496050552922593,0.13038943858751395,0
nist,clean,validation,normal,persistence,1,1899,0.06054701033449421,0.10290622100083266,0.3844128488678252,0.6987888362295945,0.8604528699315429,0.41432685433048927,0
nist,clean,validation,normal,persistence,2,1899,0.09717472519429457,0.1717794267444761,0.3791469194312796,0.6972090573986308,0.8341232227488151,0.56273061259664,0
nist,clean,validation,normal,persistence,3,1899,0.12203375457538237,0.21983244063476723,0.37546076882569773,0.7051079515534492,0.8193786203264877,0.6473878970367163,0
nist,clean,validation,normal,persistence,4,1899,0.13612522057395957,0.24874974476031592,0.4038967877830437,0.6945760926803581,0.8104265402843602,0.6995008522200973,0
nist,clean,validation,normal,quantile_compact,1,1899,0.08289586245033424,0.25077060676776763,0.6940494997367035,0.8541337546076883,0.9104791995787257,0.44208805498239817,0
nist,clean,validation,normal,quantile_compact,2,1899,0.08818083219203572,0.2591214683680464,0.6703528172722486,0.8209583991574513,0.8988941548183255,0.4815379179887284,0
nist,clean,validation,normal,quantile_compact,3,1899,0.09497795318607956,0.26896969349171523,0.6666666666666666,0.808320168509742,0.8857293312269615,0.4938401574905519,0
nist,clean,validation,normal,quantile_compact,4,1899,0.1031609020088331,0.31169338002444463,0.6766719325961033,0.79884149552396,0.8841495523959979,0.5010274170879152,0
nist,clean,validation,normal,quantile_flexible,1,1899,0.07281607330666419,0.19121685427517793,0.6598209583991574,0.817798841495524,0.8873091100579252,0.4282535519065023,0
nist,clean,validation,normal,quantile_flexible,2,1899,0.08412344576084692,0.23153551666003494,0.6229594523433386,0.7851500789889415,0.8751974723538705,0.4714158285963411,0
nist,clean,validation,normal,quantile_flexible,3,1899,0.09264325457638636,0.2457435159377324,0.6303317535545023,0.7667193259610321,0.8572933122696156,0.47933992641587164,0
nist,clean,validation,normal,quantile_flexible,4,1899,0.10446007648008315,0.31169338002444463,0.6492890995260664,0.7719852553975777,0.856766719325961,0.4880956526074573,0
nist,clean,validation,normal,single_imputation_compact,1,1899,0.03973071557070655,0.058800711276100766,0.4518167456556082,0.6566614007372301,0.7435492364402317,0.14291166058113894,0
nist,clean,validation,normal,single_imputation_compact,2,1899,0.05655171653723011,0.08348477305741489,0.40337019483938913,0.5887309110057926,0.6677198525539758,0.18193999555305723,0
nist,clean,validation,normal,single_imputation_compact,3,1899,0.07043116480206896,0.10301015616128724,0.3591363875724065,0.5350184307530279,0.6171669299631385,0.2051387494500421,0
nist,clean,validation,normal,single_imputation_compact,4,1899,0.08200478274678988,0.11921495903611176,0.33228014744602424,0.5139547130068457,0.6061084781463928,0.22543745741542012,0
nist,clean,validation,normal,single_imputation_flexible,1,1899,0.04394867865804187,0.05845937211630641,0.34228541337546076,0.5092153765139548,0.5787256450763559,0.08974542966032205,0
nist,clean,validation,normal,single_imputation_flexible,2,1899,0.06393290610784513,0.08303436241457766,0.3054239073196419,0.4570826750921538,0.5197472353870458,0.11140241297078109,0
nist,clean,validation,normal,single_imputation_flexible,3,1899,0.08070666607411445,0.1026543153777175,0.27540810953133227,0.3970510795155345,0.45392311743022645,0.12022913375117286,0
nist,clean,validation,normal,single_imputation_flexible,4,1899,0.09610772063376066,0.12012487305959399,0.2459189046866772,0.36124275934702477,0.4207477619799895,0.12649228230732348,0
nist,clean,warmup,normal,geometric_persistence,1,289,0.0405669359292177,0.053252179367406643,0.4290657439446367,0.615916955017301,0.7197231833910035,0.20458336677515387,0
nist,clean,warmup,normal,geometric_persistence,2,289,0.0646901413428566,0.09306370438289233,0.3875432525951557,0.5951557093425606,0.6885813148788927,0.33592048442935357,0
nist,clean,warmup,normal,geometric_persistence,3,289,0.08210321625679091,0.12610061586780694,0.370242214532872,0.5778546712802768,0.6816608996539792,0.4174382064866926,0
nist,clean,warmup,normal,geometric_persistence,4,289,0.09855359184842438,0.16155118223508247,0.3494809688581315,0.5536332179930796,0.6816608996539792,0.4479267688513861,0
nist,clean,warmup,normal,multiple_imputation_compact,1,289,0.03491238787120101,0.052730772883174834,0.5121107266435986,0.7058823529411765,0.7647058823529411,0.14273054217829734,0
nist,clean,warmup,normal,multiple_imputation_compact,2,289,0.05864784134720989,0.08700542849989053,0.4013840830449827,0.5570934256055363,0.6539792387543253,0.18102372549185952,0
nist,clean,warmup,normal,multiple_imputation_compact,3,289,0.07044898885019979,0.10531851184655065,0.33217993079584773,0.5259515570934256,0.6262975778546713,0.20534925462169365,0
nist,clean,warmup,normal,multiple_imputation_compact,4,289,0.09151536312182401,0.13125812496547815,0.3044982698961938,0.47750865051903113,0.5709342560553633,0.22510334494159961,0
nist,clean,warmup,normal,multiple_imputation_flexible,1,289,0.037480425337013845,0.051806452553585146,0.3806228373702422,0.5467128027681661,0.6228373702422145,0.09088481903271385,0
nist,clean,warmup,normal,multiple_imputation_flexible,2,289,0.06347504560623161,0.08448930664862886,0.2560553633217993,0.42214532871972316,0.49480968858131485,0.11320867763692426,0
nist,clean,warmup,normal,multiple_imputation_flexible,3,289,0.08299801950699624,0.10648526300697037,0.23183391003460208,0.3494809688581315,0.4117647058823529,0.12232502570399384,0
nist,clean,warmup,normal,multiple_imputation_flexible,4,289,0.10857285692231937,0.13425600011313274,0.23183391003460208,0.33217993079584773,0.4117647058823529,0.12875210816892013,0
nist,clean,warmup,normal,persistence,1,289,0.0637455769608741,0.09786136097238608,0.4013840830449827,0.6747404844290658,0.7820069204152249,0.32413163584606336,0
nist,clean,warmup,normal,persistence,2,289,0.0982238090612068,0.16177512378731887,0.41522491349480967,0.6470588235294118,0.7681660899653979,0.49568751637750635,0
nist,clean,warmup,normal,persistence,3,289,0.12000718702885664,0.2090872135507542,0.3806228373702422,0.6366782006920415,0.754325259515571,0.5470418652738908,0
nist,clean,warmup,normal,persistence,4,289,0.12978919253179008,0.23772489794283605,0.356401384083045,0.6124567474048442,0.7508650519031141,0.5610632709677887,0
nist,clean,warmup,normal,quantile_compact,1,289,0.07721629338500793,0.23876633776437645,0.6747404844290658,0.8131487889273357,0.9134948096885813,0.3796881048673969,0
nist,clean,warmup,normal,quantile_compact,2,289,0.08608008391189638,0.2520318850435233,0.6262975778546713,0.7923875432525952,0.8650519031141869,0.4403269057485718,0
nist,clean,warmup,normal,quantile_compact,3,289,0.09006989767484613,0.24692090669303685,0.629757785467128,0.7923875432525952,0.8650519031141869,0.4693127941832881,0
nist,clean,warmup,normal,quantile_compact,4,289,0.09487273302302165,0.26076256290560296,0.6228373702422145,0.7750865051903114,0.8581314878892734,0.4744644670387535,0
nist,clean,warmup,normal,quantile_flexible,1,289,0.07183139172171923,0.2089061588316835,0.6262975778546713,0.7785467128027682,0.8788927335640139,0.36469283647963974,0
nist,clean,warmup,normal,quantile_flexible,2,289,0.08371115058099016,0.23774786687840413,0.6089965397923875,0.7577854671280276,0.8373702422145328,0.4236729625279997,0
nist,clean,warmup,normal,quantile_flexible,3,289,0.08903397741511886,0.23215903772117147,0.6020761245674741,0.7370242214532872,0.8269896193771626,0.4575370490518754,0
nist,clean,warmup,normal,quantile_flexible,4,289,0.09783560693687078,0.26076256290560296,0.5916955017301038,0.7301038062283737,0.8408304498269896,0.46298780203315065,0
nist,clean,warmup,normal,single_imputation_compact,1,289,0.03419403669663056,0.05137709217454247,0.5155709342560554,0.7024221453287197,0.7647058823529411,0.14032201940064254,0
nist,clean,warmup,normal,single_imputation_compact,2,289,0.05831917507453114,0.08635441761657586,0.39792387543252594,0.5570934256055363,0.6539792387543253,0.17976069802745398,0
nist,clean,warmup,normal,single_imputation_compact,3,289,0.07082743081757224,0.10563194912156232,0.33217993079584773,0.5224913494809689,0.615916955017301,0.20394569129420873,0
nist,clean,warmup,normal,single_imputation_compact,4,289,0.09161727538947144,0.13129328596781983,0.30103806228373703,0.4809688581314879,0.5709342560553633,0.22406863822829692,0
nist,clean,warmup,normal,single_imputation_flexible,1,289,0.03693492050593241,0.050615694590676025,0.3875432525951557,0.5467128027681661,0.6228373702422145,0.08791312530509543,0
nist,clean,warmup,normal,single_imputation_flexible,2,289,0.06366059099354512,0.08414229317659117,0.2560553633217993,0.42214532871972316,0.4844290657439446,0.11079974689196159,0
nist,clean,warmup,normal,single_imputation_flexible,3,289,0.08408465382767753,0.10736231084772761,0.22837370242214533,0.3460207612456747,0.40484429065743943,0.1199691080902285,0
nist,clean,warmup,normal,single_imputation_flexible,4,289,0.10903867392136836,0.13432888071095267,0.22491349480968859,0.32525951557093424,0.4083044982698962,0.12648742819725453,0
nist,pv_only,development_evaluation,normal,geometric_persistence,1,1688,0.04278073032168064,0.06569909023003473,0.3293838862559242,0.6321090047393365,0.7843601895734598,0.2975689084912038,0
nist,pv_only,development_evaluation,normal,geometric_persistence,2,1687,0.06342747912776464,0.10299758730225385,0.3260225251926497,0.6218138707765264,0.7771191464137522,0.4236906444975808,0
nist,pv_only,development_evaluation,normal,geometric_persistence,3,1686,0.08009004582517265,0.1350962449255608,0.32147093712930014,0.6352313167259787,0.7716488730723606,0.5086746411279826,0
nist,pv_only,development_evaluation,normal,geometric_persistence,4,1686,0.09356843806899603,0.16662760617883296,0.31494661921708184,0.6298932384341637,0.7722419928825622,0.5601983076602618,0
nist,pv_only,development_evaluation,normal,multiple_imputation_compact,1,1688,0.038245156266078224,0.05706265933693014,0.4774881516587678,0.6729857819905213,0.7505924170616114,0.14753287922296218,0
nist,pv_only,development_evaluation,normal,multiple_imputation_compact,2,1687,0.0520677688345217,0.0777422627992582,0.42797866034380555,0.6330764671013633,0.7249555423829283,0.18643330912797354,0
nist,pv_only,development_evaluation,normal,multiple_imputation_compact,3,1686,0.05936282776053902,0.08887699956858959,0.4139976275207592,0.6180308422301305,0.7052194543297746,0.20760528597799582,0
nist,pv_only,development_evaluation,normal,multiple_imputation_compact,4,1686,0.06574036903361935,0.0987635952176283,0.400355871886121,0.6150652431791221,0.702846975088968,0.22776270915490007,0
nist,pv_only,development_evaluation,normal,multiple_imputation_flexible,1,1688,0.04242078418800761,0.057217789219173226,0.3566350710900474,0.5296208530805687,0.6024881516587678,0.09459091712596754,0
nist,pv_only,development_evaluation,normal,multiple_imputation_flexible,2,1687,0.05991155640751816,0.07944605047919467,0.31890930646117366,0.48073503260225253,0.5483106105512745,0.11629415657208066,0
nist,pv_only,development_evaluation,normal,multiple_imputation_flexible,3,1686,0.06821364178823157,0.08940862504060924,0.304270462633452,0.4697508896797153,0.5409252669039146,0.12411603653333375,0
nist,pv_only,development_evaluation,normal,multiple_imputation_flexible,4,1686,0.07873981662595193,0.10218634040568268,0.2680901542111507,0.4128113879003559,0.49644128113879005,0.12916564475757572,0
nist,pv_only,development_evaluation,normal,persistence,1,1688,0.06454617974834254,0.11106099805751983,0.3074644549763033,0.6522511848341233,0.8359004739336493,0.4006549570557812,0
nist,pv_only,development_evaluation,normal,persistence,2,1687,0.10141899515647348,0.18236860074362815,0.3082394783639597,0.6532305868405454,0.8310610551274452,0.560541529746403,0
nist,pv_only,development_evaluation,normal,persistence,3,1686,0.12470023211406298,0.23199676555794674,0.31613285883748515,0.6524317912218268,0.8143534994068802,0.6378276033018823,0
nist,pv_only,development_evaluation,normal,persistence,4,1686,0.13664847797226667,0.2611619202839964,0.3185053380782918,0.6577698695136418,0.8096085409252669,0.6802144732846305,0
nist,pv_only,development_evaluation,normal,quantile_compact,1,1688,0.08890505378554195,0.2876308464512285,0.7043838862559242,0.8489336492890995,0.9188388625592417,0.4276469100424332,0
nist,pv_only,development_evaluation,normal,quantile_compact,2,1687,0.09193571943786989,0.28990370751862027,0.6810906935388263,0.8612922347362182,0.9270895080023711,0.45556038559224654,0
nist,pv_only,development_evaluation,normal,quantile_compact,3,1686,0.09498326014225643,0.28903965343871924,0.702846975088968,0.8564650059311981,0.9276393831553974,0.4659117810340562,0
nist,pv_only,development_evaluation,normal,quantile_compact,4,1686,0.10023458929172854,0.3191630280836862,0.7158956109134045,0.8623962040332147,0.9341637010676157,0.4688794493601087,0
nist,pv_only,development_evaluation,normal,quantile_flexible,1,1688,0.08107593654898405,0.23694883941304556,0.6356635071090048,0.7985781990521327,0.889218009478673,0.41512154345662755,0
nist,pv_only,development_evaluation,normal,quantile_flexible,2,1687,0.08885856800335094,0.26820422428630636,0.6265560165975104,0.8103141671606402,0.9075281564908121,0.4469692552980505,0
nist,pv_only,development_evaluation,normal,quantile_flexible,3,1686,0.0917599058372476,0.26389470810421156,0.6530249110320284,0.8167259786476868,0.9116251482799526,0.4574334957553846,0
nist,pv_only,development_evaluation,normal,quantile_flexible,4,1686,0.10140657868670606,0.3191630280836862,0.6559905100830368,0.8090154211150652,0.9051008303677343,0.45811230593516616,0
nist,pv_only,development_evaluation,normal,single_imputation_compact,1,1688,0.038271230372501415,0.05673547931829976,0.4721563981042654,0.6682464454976303,0.745260663507109,0.1439781540294611,0
nist,pv_only,development_evaluation,normal,single_imputation_compact,2,1687,0.05199972434116827,0.07731751631412609,0.4303497332542976,0.6330764671013633,0.7213989330171903,0.1835337002569534,0
nist,pv_only,development_evaluation,normal,single_imputation_compact,3,1686,0.05953363679852885,0.08890471644106712,0.41162514827995256,0.6180308422301305,0.7022538552787663,0.20573460858771675,0
nist,pv_only,development_evaluation,normal,single_imputation_compact,4,1686,0.06596261390885058,0.09880127727395246,0.4015421115065243,0.6144721233689205,0.6986951364175563,0.22633882708811273,0
nist,pv_only,development_evaluation,normal,single_imputation_flexible,1,1688,0.042464966461067524,0.05677075944140428,0.3542654028436019,0.5254739336492891,0.5965639810426541,0.09040186156747762,0
nist,pv_only,development_evaluation,normal,single_imputation_flexible,2,1687,0.06008917168592779,0.07906123817776337,0.31772377000592766,0.47717842323651455,0.5423829282750444,0.1124336877491735,0
nist,pv_only,development_evaluation,normal,single_imputation_flexible,3,1686,0.06859733590381815,0.08931817068331148,0.302491103202847,0.4638196915776987,0.5344009489916963,0.12096742590683862,0
nist,pv_only,development_evaluation,normal,single_imputation_flexible,4,1686,0.07909097298273364,0.10202728207154294,0.267497034400949,0.4110320284697509,0.49347568208778175,0.12663665047931755,0
nist,pv_only,development_evaluation,partial_restoration,geometric_persistence,1,147,0.15989816730376077,0.21814608313538292,0.16326530612244897,0.35374149659863946,0.46258503401360546,0.25265116975256263,23
nist,pv_only,development_evaluation,partial_restoration,geometric_persistence,2,147,0.1539464502949562,0.23924294770338925,0.2585034013605442,0.42857142857142855,0.564625850340136,0.3745672844041978,22
nist,pv_only,development_evaluation,partial_restoration,geometric_persistence,3,148,0.1424599108453927,0.24781871254469987,0.27702702702702703,0.46621621621621623,0.6081081081081081,0.45986801029881447,22
nist,pv_only,development_evaluation,partial_restoration,geometric_persistence,4,148,0.12359032057833486,0.23644652169602365,0.30405405405405406,0.5202702702702703,0.6756756756756757,0.5170341892015691,24
nist,pv_only,development_evaluation,partial_restoration,multiple_imputation_compact,1,147,0.04601611400673154,0.07457427528423637,0.5714285714285714,0.782312925170068,0.8163265306122449,0.29533658310037253,23
nist,pv_only,development_evaluation,partial_restoration,multiple_imputation_compact,2,147,0.057506762162873086,0.09632632315942033,0.46258503401360546,0.6938775510204082,0.8027210884353742,0.31588689989042357,22
nist,pv_only,development_evaluation,partial_restoration,multiple_imputation_compact,3,148,0.07400105736517078,0.1169828023700865,0.39864864864864863,0.6216216216216216,0.7094594594594594,0.30175719308448556,22
nist,pv_only,development_evaluation,partial_restoration,multiple_imputation_compact,4,148,0.08640704706578332,0.13301551815999177,0.34459459459459457,0.5472972972972973,0.6418918918918919,0.29162661784266053,24
nist,pv_only,development_evaluation,partial_restoration,multiple_imputation_flexible,1,147,0.04602070940058424,0.07156228200635617,0.5034013605442177,0.7278911564625851,0.782312925170068,0.2606174771961267,23
nist,pv_only,development_evaluation,partial_restoration,multiple_imputation_flexible,2,147,0.06098623561344672,0.09492171836786176,0.3673469387755102,0.5986394557823129,0.7210884353741497,0.2636148338928978,22
nist,pv_only,development_evaluation,partial_restoration,multiple_imputation_flexible,3,148,0.08354538970151232,0.12009260223723402,0.3108108108108108,0.47297297297297297,0.5337837837837838,0.23476595495919336,22
nist,pv_only,development_evaluation,partial_restoration,multiple_imputation_flexible,4,148,0.09451616801247283,0.12773879705014599,0.2972972972972973,0.44594594594594594,0.5135135135135135,0.20555490291174036,24
nist,pv_only,development_evaluation,partial_restoration,persistence,1,147,0.19753526688596879,0.27967330813620855,0.23129251700680273,0.38095238095238093,0.5170068027210885,0.33640274081557253,23
nist,pv_only,development_evaluation,partial_restoration,persistence,2,147,0.17610168337848975,0.28636327879261547,0.32653061224489793,0.46938775510204084,0.5850340136054422,0.4810386388442829,22
nist,pv_only,development_evaluation,partial_restoration,persistence,3,148,0.15865997824768147,0.2871825514099249,0.32432432432432434,0.5405405405405406,0.6486486486486487,0.5559245095090468,22
nist,pv_only,development_evaluation,partial_restoration,persistence,4,148,0.1406733036519553,0.2752376958136563,0.3783783783783784,0.6148648648648649,0.7702702702702703,0.599361670360793,24
nist,pv_only,development_evaluation,partial_restoration,quantile_compact,1,147,0.09207661121736398,0.250390846808802,0.7482993197278912,0.8435374149659864,0.9183673469387755,0.49953628957865287,23
nist,pv_only,development_evaluation,partial_restoration,quantile_compact,2,147,0.09662939634105996,0.27570477011648514,0.7346938775510204,0.8503401360544217,0.891156462585034,0.49562304751359826,22
nist,pv_only,development_evaluation,partial_restoration,quantile_compact,3,148,0.09993532221450836,0.28942554258677755,0.722972972972973,0.8445945945945946,0.8851351351351351,0.49814355257414167,22
nist,pv_only,development_evaluation,partial_restoration,quantile_compact,4,148,0.10041411542229332,0.2888306646598575,0.7432432432432432,0.8378378378378378,0.8918918918918919,0.48692141216464974,24
nist,pv_only,development_evaluation,partial_restoration,quantile_flexible,1,147,0.09023192562354242,0.24382188066332947,0.7414965986394558,0.8367346938775511,0.891156462585034,0.4802417280556584,23
nist,pv_only,development_evaluation,partial_restoration,quantile_flexible,2,147,0.09462039265752596,0.2612487474211469,0.7142857142857143,0.8367346938775511,0.8843537414965986,0.4832653032358094,22
nist,pv_only,development_evaluation,partial_restoration,quantile_flexible,3,148,0.09494295847654032,0.25035217858181197,0.7162162162162162,0.8378378378378378,0.8783783783783784,0.48775501555577755,22
nist,pv_only,development_evaluation,partial_restoration,quantile_flexible,4,148,0.10128967736026766,0.2888306646598575,0.6959459459459459,0.831081081081081,0.8918918918918919,0.48058715322183687,24
nist,pv_only,development_evaluation,partial_restoration,single_imputation_compact,1,147,0.046763648962962326,0.0678051626520854,0.3877551020408163,0.6122448979591837,0.6938775510204082,0.14511430313443258,23
nist,pv_only,development_evaluation,partial_restoration,single_imputation_compact,2,147,0.06155433809066472,0.09113531873856767,0.3945578231292517,0.5306122448979592,0.673469387755102,0.18695061747492359,22
nist,pv_only,development_evaluation,partial_restoration,single_imputation_compact,3,148,0.07755179495900626,0.11187040978002051,0.35135135135135137,0.5202702702702703,0.6283783783783784,0.20819120346230194,22
nist,pv_only,development_evaluation,partial_restoration,single_imputation_compact,4,148,0.08951193784880274,0.12814460970583666,0.31756756756756754,0.46621621621621623,0.5743243243243243,0.2275334885501905,24
nist,pv_only,development_evaluation,partial_restoration,single_imputation_flexible,1,147,0.049043346069331036,0.06485328341023708,0.3197278911564626,0.4557823129251701,0.54421768707483,0.09122874303944865,23
nist,pv_only,development_evaluation,partial_restoration,single_imputation_flexible,2,147,0.07030744540065421,0.0905582152599043,0.2789115646258503,0.4217687074829932,0.47619047619047616,0.11382569278143377,22
nist,pv_only,development_evaluation,partial_restoration,single_imputation_flexible,3,148,0.09293855663813311,0.11681975205666319,0.22972972972972974,0.31756756756756754,0.39864864864864863,0.12201823219009478,22
nist,pv_only,development_evaluation,partial_restoration,single_imputation_flexible,4,148,0.10070713909018408,0.12497839125247176,0.22972972972972974,0.3716216216216216,0.41216216216216217,0.12665039875523498,24
nist,pv_only,development_evaluation,recovery_0_6,geometric_persistence,1,78,0.04104563182970825,0.059654310940996796,0.3717948717948718,0.6282051282051282,0.7948717948717948,0.2755188097336643,19
nist,pv_only,development_evaluation,recovery_0_6,geometric_persistence,2,80,0.06180183177120352,0.08967975409516145,0.325,0.6375,0.7375,0.3674355719630323,19
nist,pv_only,development_evaluation,recovery_0_6,geometric_persistence,3,77,0.08344079951115507,0.12756787219535334,0.3246753246753247,0.5714285714285714,0.7142857142857143,0.4423045799297267,17
