site,method,horizon,quantile,initial_prediction,prediction_min,prediction_max,prediction_std,zero_fraction,all_quantile_crossing_fraction
nist,quantile_compact,1,0.05,0.0,-0.0107166700628769,0.8179814716328933,0.06446857767128057,0.8085154826958105,0.2936020036429873
nist,quantile_compact,1,0.1,0.0,-0.00814185544476132,0.7878647152498072,0.06014716593782686,0.8543943533697632,0.2936020036429873
nist,quantile_compact,1,0.25,0.0,0.0,0.0,0.0,1.0,0.2936020036429873
nist,quantile_compact,1,0.5,0.0,0.0,0.0,0.0,1.0,0.2936020036429873
nist,quantile_compact,1,0.75,0.1701773180642778,-0.025480059813974762,0.9151078256066242,0.25345934403898285,0.0,0.2936020036429873
nist,quantile_compact,1,0.9,0.5522226326807044,-0.0032642807743263323,0.9185854757109952,0.27009240641643734,0.0,0.2936020036429873
nist,quantile_compact,1,0.95,0.6830501169806674,-0.0006170583927567188,0.9428292558413458,0.2798802779422063,0.0,0.2936020036429873
nist,quantile_compact,2,0.05,0.0,-0.001100775729072319,0.594979475069714,0.07542520944287888,0.8398224043715847,0.25170765027322406
nist,quantile_compact,2,0.1,0.0,-0.044393962162783386,0.9801999642582622,0.0897821987544058,0.8565573770491803,0.25170765027322406
nist,quantile_compact,2,0.25,0.0,0.0,0.0,0.0,1.0,0.25170765027322406
nist,quantile_compact,2,0.5,0.0,0.0,0.0,0.0,1.0,0.25170765027322406
nist,quantile_compact,2,0.75,0.1701773180642778,-0.007432738881984407,0.8591254830392073,0.2555358105385187,0.0,0.25170765027322406
nist,quantile_compact,2,0.9,0.552239871936954,-0.01862419543167359,0.9186905661256846,0.27772555732561116,0.0,0.25170765027322406
nist,quantile_compact,2,0.95,0.6830501169806674,0.0006652791089516599,0.9190167655058906,0.29534927596344374,0.0,0.25170765027322406
nist,quantile_compact,3,0.05,0.0,0.0,0.0,0.0,1.0,0.22734517304189436
nist,quantile_compact,3,0.1,0.0,-0.006107464246095934,0.5995246580216934,0.07264862592231763,0.8771630236794171,0.22734517304189436
nist,quantile_compact,3,0.25,0.0,0.0,0.0,0.0,1.0,0.22734517304189436
nist,quantile_compact,3,0.5,0.0,0.0,0.0,0.0,1.0,0.22734517304189436
nist,quantile_compact,3,0.75,0.1701773180642778,-0.00962393953936237,0.8735565083833141,0.2568248759381947,0.0,0.22734517304189436
nist,quantile_compact,3,0.9,0.5523088289619504,-0.0007983487344261407,0.9237549384200535,0.28434471487189755,0.0,0.22734517304189436
nist,quantile_compact,3,0.95,0.6830501169806674,0.0008560626745106907,0.9275145686602632,0.301459720260796,0.0,0.22734517304189436
nist,quantile_compact,4,0.05,0.0,0.0,0.0,0.0,1.0,0.1366120218579235
nist,quantile_compact,4,0.1,0.0,0.0,0.0,0.0,1.0,0.1366120218579235
nist,quantile_compact,4,0.25,0.0,0.0,0.0,0.0,1.0,0.1366120218579235
nist,quantile_compact,4,0.5,0.0,0.0,0.0,0.0,1.0,0.1366120218579235
nist,quantile_compact,4,0.75,0.17030507326683908,-0.010529251914791038,0.8693549503366651,0.2597680912323982,0.0,0.1366120218579235
nist,quantile_compact,4,0.9,0.5523777859869476,-0.000491976363136971,0.9074373497079926,0.29115718913882616,0.0,0.1366120218579235
nist,quantile_compact,4,0.95,0.6830501169806674,-0.00010405612649124103,0.9233055522224223,0.3061884146039926,0.0,0.1366120218579235
nist,quantile_flexible,1,0.05,0.0,-0.02597183698565011,1.0091135736523844,0.11169610058962388,0.7017304189435337,0.5159380692167578
nist,quantile_flexible,1,0.1,0.0,-0.057445235169977946,0.8505764362864437,0.11052585320760362,0.542235883424408,0.5159380692167578
nist,quantile_flexible,1,0.25,0.0,0.0,0.0,0.0,1.0,0.5159380692167578
nist,quantile_flexible,1,0.5,0.0,0.0,0.0,0.0,1.0,0.5159380692167578
nist,quantile_flexible,1,0.75,0.1701773180642778,-0.013849576537453036,0.9188877801527539,0.25014879663922274,0.0,0.5159380692167578
nist,quantile_flexible,1,0.9,0.5522226326807044,-0.005751108942305133,0.9331130522813519,0.2636479281832753,0.0,0.5159380692167578
nist,quantile_flexible,1,0.95,0.6830501169806674,-0.0016661161967219487,0.9399796065944128,0.27510143736529863,0.0,0.5159380692167578
nist,quantile_flexible,2,0.05,0.0,-0.01171172271164067,0.6605980851786388,0.08847173108364918,0.6997950819672131,0.36885245901639346
nist,quantile_flexible,2,0.1,0.0,-0.005762859491879784,1.06579707431008,0.09905135951054286,0.8376593806921676,0.36885245901639346
nist,quantile_flexible,2,0.25,0.0,0.0,0.0,0.0,1.0,0.36885245901639346
nist,quantile_flexible,2,0.5,0.0,0.0,0.0,0.0,1.0,0.36885245901639346
nist,quantile_flexible,2,0.75,0.1701773180642778,-0.00978912488011107,0.8803037533681343,0.251199666736945,0.0,0.36885245901639346
nist,quantile_flexible,2,0.9,0.552239871936954,-0.01562106846269102,0.9376024296174124,0.2704422636106121,0.0,0.36885245901639346
nist,quantile_flexible,2,0.95,0.6830501169806674,-0.001725821046474623,0.9224470199506898,0.28988586725716314,0.0,0.36885245901639346
nist,quantile_flexible,3,0.05,0.0,0.0,0.0,0.0,1.0,0.26343351548269583
nist,quantile_flexible,3,0.1,0.0,-0.0049271971488141645,0.8301110372014263,0.11370053384555244,0.8443761384335154,0.26343351548269583
