scenario,phase,method,n,nwis,coverage90,width90_kw,events
clean,background,context,2380,0.08934436291191039,0.9529411764705882,144.6477437780528,0
clean,background,persistence,2380,0.11669333029924199,0.8243697478991596,147.86365853641456,0
clean,background,quantile_raw,2380,0.0893108867927102,0.9529411764705882,144.62289325670397,0
clean,background,recovery,2380,0.08933420740528225,0.9529411764705882,144.64743662443536,0
clean,background,rolling,2380,0.0893340483652728,0.9529411764705882,144.64743662443536,0
irradiance_first,background,context,1908,0.09055396467042272,0.94916142557652,144.2455016756448,0
irradiance_first,background,persistence,1908,0.11376201381321867,0.860062893081761,157.49118977987422,0
irradiance_first,background,quantile_raw,1908,0.09051271192060589,0.94916142557652,144.21326825269546,0
irradiance_first,background,recovery,1908,0.09054180157360459,0.94916142557652,144.2438831453583,0
irradiance_first,background,rolling,1908,0.09054160319036428,0.94916142557652,144.2438831453583,0
irradiance_first,outage,context,140,0.07910231297836562,1.0,168.80018572486657,8
irradiance_first,outage,persistence,140,0.1342856399257154,0.8142857142857143,168.0209661904762,8
irradiance_first,outage,quantile_raw,140,0.07910132372332224,1.0,168.80018572486657,8
irradiance_first,outage,recovery,140,0.07910132372332224,1.0,168.80018572486657,8
irradiance_first,outage,rolling,140,0.07910132372332224,1.0,168.80018572486657,8
irradiance_first,recovery,context,332,0.08861269003958713,0.9578313253012049,144.7318180023518,8
irradiance_first,recovery,persistence,332,0.11135223650684856,0.8885542168674698,164.8790279116466,8
irradiance_first,recovery,quantile_raw,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
irradiance_first,recovery,recovery,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
irradiance_first,recovery,rolling,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
irradiance_only,background,context,1908,0.09055331283577729,0.94916142557652,144.24441881675713,0
irradiance_only,background,persistence,1908,0.11686251991396672,0.8233752620545073,146.3779958595388,0
irradiance_only,background,quantile_raw,1908,0.09051271192060589,0.94916142557652,144.21326825269546,0
irradiance_only,background,recovery,1908,0.09054180157360459,0.94916142557652,144.2438831453583,0
irradiance_only,background,rolling,1908,0.09054160319036428,0.94916142557652,144.2438831453583,0
irradiance_only,outage,context,140,0.08036855399886104,0.9928571428571429,156.12672450503229,8
irradiance_only,outage,persistence,140,0.11595603696890652,0.8142857142857143,165.19058166666667,8
irradiance_only,outage,quantile_raw,140,0.0803671283635586,0.9928571428571429,156.12672450503229,8
irradiance_only,outage,recovery,140,0.0803671283635586,0.9928571428571429,156.12672450503229,8
irradiance_only,outage,rolling,140,0.0803671283635586,0.9928571428571429,156.12672450503229,8
irradiance_only,recovery,context,332,0.08861273001624603,0.9578313253012049,144.7325755200611,8
irradiance_only,recovery,persistence,332,0.116031906447893,0.8343373493975904,149.09521019076305,8
irradiance_only,recovery,quantile_raw,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
irradiance_only,recovery,recovery,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
irradiance_only,recovery,rolling,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
joint,background,context,1908,0.09055346485133686,0.94916142557652,144.24562178025946,0
joint,background,persistence,1908,0.11376201381321867,0.860062893081761,157.49118977987422,0
joint,background,quantile_raw,1908,0.09051271192060589,0.94916142557652,144.21326825269546,0
joint,background,recovery,1908,0.09054180157360459,0.94916142557652,144.2438831453583,0
joint,background,rolling,1908,0.09054160319036428,0.94916142557652,144.2438831453583,0
joint,outage,context,140,0.07910198329501843,1.0,168.80018572486657,8
joint,outage,persistence,140,0.1342856399257154,0.8142857142857143,168.0209661904762,8
joint,outage,quantile_raw,140,0.07910132372332224,1.0,168.80018572486657,8
joint,outage,recovery,140,0.07910132372332224,1.0,168.80018572486657,8
joint,outage,rolling,140,0.07910132372332224,1.0,168.80018572486657,8
joint,recovery,context,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
joint,recovery,persistence,332,0.11135223650684856,0.8885542168674698,164.8790279116466,8
joint,recovery,quantile_raw,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
joint,recovery,recovery,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
joint,recovery,rolling,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
no_backfill,background,context,1908,0.09066399349510086,0.9475890985324947,143.36559101733212,0
no_backfill,background,persistence,1908,0.11732342223843774,0.8280922431865828,148.05203839098533,0
no_backfill,background,quantile_raw,1908,0.09060468334816331,0.9475890985324947,143.28972666593066,0
no_backfill,background,recovery,1908,0.09065236084854993,0.9475890985324947,143.35993367780233,0
no_backfill,background,rolling,1908,0.0906521624653096,0.9475890985324947,143.35993367780233,0
no_backfill,outage,context,140,0.07910132372332224,1.0,168.80018572486657,8
no_backfill,outage,persistence,140,0.1378114464766328,0.7571428571428571,158.56961595238096,8
no_backfill,outage,quantile_raw,140,0.07910132372332224,1.0,168.80018572486657,8
no_backfill,outage,recovery,140,0.07910132372332224,1.0,168.80018572486657,8
no_backfill,outage,rolling,140,0.07910132372332224,1.0,168.80018572486657,8
no_backfill,recovery,context,332,0.08880936432187198,0.9668674698795181,146.3071377946084,8
no_backfill,recovery,persistence,332,0.11661189929913332,0.8524096385542169,152.0262001004016,8
no_backfill,recovery,quantile_raw,332,0.0888070681375249,0.9668674698795181,146.3071377946084,8
no_backfill,recovery,recovery,332,0.0888070681375249,0.9668674698795181,146.3071377946084,8
no_backfill,recovery,rolling,332,0.0888070681375249,0.9668674698795181,146.3071377946084,8
pv_first,background,context,1908,0.09055401694299627,0.94916142557652,144.2455016756448,0
pv_first,background,persistence,1908,0.11525569675806761,0.8438155136268344,152.98441071802935,0
pv_first,background,quantile_raw,1908,0.09051271192060589,0.94916142557652,144.21326825269546,0
pv_first,background,recovery,1908,0.09054180157360459,0.94916142557652,144.2438831453583,0
pv_first,background,rolling,1908,0.09054160319036428,0.94916142557652,144.2438831453583,0
