origin,target_end,horizon,method,pool_size,matching_size,effective_n,freshest_score_age_h,fallback,q05,q10,q25,q50,q75,q90,q95,base_q05,base_q10,base_q25,base_q50,base_q75,base_q90,base_q95,pv_age,pv_recovery,pv_transport_age,pv_missing_fraction,irradiance_age,irradiance_recovery,irradiance_transport_age,irradiance_missing_fraction,actual_kw,valid_target,daylight,phase,event_id,recovery_hour,split,within_split,wis_kw,nwis,mae_kw,coverage50,width50_kw,coverage80,width80_kw,coverage90,width90_kw,scenario
2015-10-05 08:00:00+00:00,2015-10-05 09:00:00+00:00,1,rolling,688,484,514.5872365140618,1.0,none,0.0,0.0,0.0,0.0,0.3266122626661405,1.3652026965942852,3.3395917064163894,0.0,0.0,0.0,0.0,0.3266122626661405,1.3652026965942852,3.3395917064163894,0.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,True,False,background,-1,,development_evaluation,True,0.11004369161336659,0.000406515299643024,0.0,1.0,0.3266122626661405,1.0,1.3652026965942852,1.0,3.3395917064163894,irradiance_first
2015-10-05 08:00:00+00:00,2015-10-05 09:00:00+00:00,1,recovery,688,484,394.61457403692594,1.0,none,0.0,0.0,0.0,0.0,0.3266122626661405,1.3652026965942852,3.3395917064163894,0.0,0.0,0.0,0.0,0.3266122626661405,1.3652026965942852,3.3395917064163894,0.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,True,False,background,-1,,development_evaluation,True,0.11004369161336659,0.000406515299643024,0.0,1.0,0.3266122626661405,1.0,1.3652026965942852,1.0,3.3395917064163894,irradiance_first
2015-10-05 09:00:00+00:00,2015-10-05 10:00:00+00:00,1,rolling,688,484,514.6166237525066,1.0,none,0.0,0.0,0.0,0.0,0.3266122626661405,1.3652026965942852,3.3395917064163894,0.0,0.0,0.0,0.0,0.3266122626661405,1.3652026965942852,3.3395917064163894,0.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,True,False,background,-1,,development_evaluation,True,0.11004369161336659,0.000406515299643024,0.0,1.0,0.3266122626661405,1.0,1.3652026965942852,1.0,3.3395917064163894,irradiance_first
2015-10-05 09:00:00+00:00,2015-10-05 10:00:00+00:00,1,recovery,688,484,394.6538006567667,1.0,none,0.0,0.0,0.0,0.0,0.3266122626661405,1.3652026965942852,3.3395917064163894,0.0,0.0,0.0,0.0,0.3266122626661405,1.3652026965942852,3.3395917064163894,0.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,True,False,background,-1,,development_evaluation,True,0.11004369161336659,0.000406515299643024,0.0,1.0,0.3266122626661405,1.0,1.3652026965942852,1.0,3.3395917064163894,irradiance_first
2015-10-05 10:00:00+00:00,2015-10-05 11:00:00+00:00,1,rolling,688,484,514.6460358367067,1.0,none,0.0,0.0,0.0,0.0,0.3266122626661405,1.3652026965942852,3.3395917064163894,0.0,0.0,0.0,0.0,0.3266122626661405,1.3652026965942852,3.3395917064163894,0.0,42.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,True,False,background,-1,,development_evaluation,True,0.11004369161336659,0.000406515299643024,0.0,1.0,0.3266122626661405,1.0,1.3652026965942852,1.0,3.3395917064163894,irradiance_first
2015-10-05 10:00:00+00:00,2015-10-05 11:00:00+00:00,1,recovery,688,484,394.69558684808175,1.0,none,0.0,0.0,0.0,0.0,0.3266122626661405,1.3652026965942852,3.3395917064163894,0.0,0.0,0.0,0.0,0.3266122626661405,1.3652026965942852,3.3395917064163894,0.0,42.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,True,False,background,-1,,development_evaluation,True,0.11004369161336659,0.000406515299643024,0.0,1.0,0.3266122626661405,1.0,1.3652026965942852,1.0,3.3395917064163894,irradiance_first
2015-10-05 11:00:00+00:00,2015-10-05 12:00:00+00:00,1,rolling,688,484,514.6754720217428,1.0,none,0.0,0.0,0.0,0.0,1.890388436279107,3.412679744944369,4.950478215878551,0.0,0.0,0.0,0.0,1.890388436279107,3.412679744944369,4.950478215878551,0.0,43.0,0.0,0.0,0.0,43.0,0.0,0.0,5.999750000000001,True,True,background,-1,,development_evaluation,True,3.3734193135017483,0.01246183713890561,5.999750000000001,0.0,1.890388436279107,0.0,3.412679744944369,0.0,4.950478215878551,irradiance_first
2015-10-05 11:00:00+00:00,2015-10-05 12:00:00+00:00,1,recovery,688,484,394.7398955675947,1.0,none,0.0,0.0,0.0,0.0,1.890388436279107,3.412679744944369,4.950478215878551,0.0,0.0,0.0,0.0,1.890388436279107,3.412679744944369,4.950478215878551,0.0,43.0,0.0,0.0,0.0,43.0,0.0,0.0,5.999750000000001,True,True,background,-1,,development_evaluation,True,3.3734193135017483,0.01246183713890561,5.999750000000001,0.0,1.890388436279107,0.0,3.412679744944369,0.0,4.950478215878551,irradiance_first
2015-10-05 12:00:00+00:00,2015-10-05 13:00:00+00:00,1,rolling,688,484,514.7049315690849,1.0,none,0.0,0.0,0.000338200000000001,0.2029933333333333,42.216028153088125,58.37431738089167,63.64060377778545,0.0,0.0,0.000338200000000001,0.2029933333333333,42.216028153088125,58.37431738089167,63.64060377778545,0.0,44.0,0.0,0.0,0.0,44.0,0.0,0.0,61.5045,True,True,background,-1,,development_evaluation,True,20.75508348988686,0.07667190059064227,61.30150666666667,0.0,42.21568995308812,0.0,58.37431738089167,1.0,63.64060377778545,irradiance_first
2015-10-05 12:00:00+00:00,2015-10-05 13:00:00+00:00,1,recovery,688,484,394.7866903696052,1.0,none,0.0,0.0,0.000338200000000001,0.2029933333333333,42.216028153088125,58.37431738089167,63.64060377778545,0.0,0.0,0.000338200000000001,0.2029933333333333,42.216028153088125,58.37431738089167,63.64060377778545,0.0,44.0,0.0,0.0,0.0,44.0,0.0,0.0,61.5045,True,True,background,-1,,development_evaluation,True,20.75508348988686,0.07667190059064227,61.30150666666667,0.0,42.21568995308812,0.0,58.37431738089167,1.0,63.64060377778545,irradiance_first
