phase,comparison,events,forecast_rows,pooled_delta_nwis,equal_event_delta_nwis,bootstrap_low,bootstrap_high
recovery_0_to_6h,signed_day − expand_day,8,135,-0.0026804345283437817,-0.0027310301672403177,-0.0036038916246514184,-0.0018817163992409568
recovery_0_to_6h,context_day − recency_day,8,135,-0.0008376066450184114,-0.0009438196808866255,-0.0016363893356656576,8.24171488981327e-06
recovery_0_to_6h,recovery_day − recency_day,8,135,6.185737047400313e-05,2.3474057008932066e-05,-0.00011262366100546209,0.0002367203660223904
recovery_6_to_24h,signed_day − expand_day,8,201,0.0010777406465633842,0.0008790813623118895,-0.0008258133024417072,0.002594470349136273
recovery_6_to_24h,context_day − recency_day,8,201,-0.0006438408996678423,-0.0006626760600244655,-0.0023502707838727235,0.00044524040934040696
recovery_6_to_24h,recovery_day − recency_day,8,201,-7.394286617974774e-05,-7.260237650032944e-05,-0.0003465033143217044,0.00015969248187575364
