native_date,bright_hours,ac_max_w,ac_median_w,dc_max_w,dc_median_w,dc_v_median,poa_median,module_sentinel_fraction,all_observed_bright_ac_below_10w
2016-01-01,8,849.0177500000001,722.0179966666667,911.5902083333333,775.470145,261.65156833333333,864.6746741666667,0.0,False
2016-01-02,8,845.2131783333333,713.9529616666666,910.1231016666667,767.7413333333334,257.55971999999997,861.0295958333334,0.0,False
2016-01-03,8,808.3948866666667,683.1422291666667,870.298915,736.0358558333334,255.65810333333332,822.7307041666667,0.0,False
2016-01-04,8,801.3820483333333,652.5048558333333,862.9725500000001,703.44037,258.7991783333333,771.4107575,0.0,False
2016-01-05,8,830.3603949999999,673.1773450000001,894.9441883333333,726.6097924999999,257.8205025,803.5379016666666,0.0,False
2016-01-06,8,799.3621783333333,531.8258816666666,860.68596,574.2032741666667,262.30455166666667,622.2156633333334,0.0,False
2016-01-07,4,427.11895999999996,355.32560333333333,461.5017066666667,385.84669333333335,267.1725233333333,410.8707333333333,0.0,False
2016-01-08,3,13.771999716666667,6.5036771,21.69010666666667,14.116991166666667,190.52764666666664,213.68748833333333,0.0,False
2016-01-09,8,845.476455,458.89692583333334,907.8147216666667,495.2351166666666,268.57301333333334,667.6103316666668,0.0,False
2016-01-10,8,860.691975,725.7058383333333,924.3980366666667,779.0086991666667,261.96610499999997,851.4126808333333,0.0,False
2016-01-11,8,776.6132433333333,492.1562808333333,836.8035566666666,531.5735158333333,266.1583283333333,569.4660266666667,0.0,False
2016-01-12,7,863.368075,509.43239166666666,929.6270933333333,548.96223,264.5015466666667,608.7877833333333,0.0,False
2016-01-13,6,847.1922033333334,540.8371775,914.1401083333333,585.152515,260.1835091666667,643.2476941666666,0.0,False
2016-01-14,8,884.3483183333334,743.9571991666667,951.7645966666666,800.2117316666667,266.14065416666665,874.2453175,0.0,False
2016-01-15,6,780.7640183333333,451.01352099999997,837.1199066666667,487.12594,262.6372083333333,527.1184783333333,0.0,False
2016-01-16,8,841.8239183333334,406.25813533333337,904.542055,439.25862091666664,266.1761816666667,483.19889724999996,0.0,False
