month,complete_bright_ac_dc_hours,bright_ac_below_10w_hours,bright_ac_and_dc_below_10w_hours,bright_module_temp_sentinel_hours,bright_median_ac_w,near_idle_median_ac_w,bright_median_dc_w,near_idle_median_dc_w,bright_median_dc_v,near_idle_median_dc_v,bright_median_dc_a,near_idle_median_dc_a,bright_median_ac_v,near_idle_median_ac_v,bright_median_ac_a,near_idle_median_ac_a,bright_median_power_factor,near_idle_median_power_factor,bright_median_poa_w_m2,near_idle_median_poa_w_m2,bright_median_abs_dc_identity_error_w,near_idle_median_abs_dc_identity_error_w,bright_median_abs_ac_identity_error_w,near_idle_median_abs_ac_identity_error_w
2016-01,217,2,1,0,603.16292,4.451208291666667,648.2583066666667,11.765084241666667,260.9237816666667,175.45300583333332,2.4948932499999996,0.06619282691666667,124.65449666666667,122.98228333333334,4.959089383333334,0.5400267566666667,0.9654174983333333,0.06562211691666667,720.3492683333334,212.7676625,0.046467688791678556,0.0023731184391584392,2.875949033660402,0.06539399126504163
2016-02,237,16,15,0,536.3157783333334,1.6836025754583335,583.60146,3.8930254073083335,256.436895,164.8024733333333,2.2723018,0.024008812019699836,124.32172333333332,122.336415,4.446505883333333,0.43244671833333337,0.9625698733333333,0.049773219283333336,688.00601,657.7899416666667,0.04729744186999672,0.04229973827152066,2.6156142805642313,0.11334673596601894
2016-03,242,13,10,0,490.83984499999997,1.5149301400000001,530.0678683333333,8.763256533333333,257.47689583333334,162.11363166666666,2.0341011875,0.0522648005,124.526195,123.010685,4.0775944666666675,0.5402396816666666,0.9600252283333333,0.03216719913833333,631.8161308333333,339.6940333333333,0.05186471430500603,0.002476835841283398,2.566662605585587,0.019642839708360567
2016-04,224,8,6,0,510.75188833333334,2.0233641674166667,555.3795308333333,8.166891708333333,253.863205,173.897885,2.1654695666666663,0.04820874158333334,124.30861000000002,122.94254083333334,4.254225275,0.4859143566666666,0.9624970608333333,0.06654868601666666,650.6736041666666,448.76287583333334,0.05307265137675117,0.05553824499208304,2.654049391498208,0.1474429675514525
2016-05,246,0,0,0,486.3576933333334,,528.6639966666667,,252.05838999999997,,2.08450536,,124.33502999999999,,4.045439291666666,,0.9598337450000001,,623.2852466666666,,0.06183301159142296,,2.561552087106808,
2016-06,273,0,0,0,530.33064,,578.9392983333333,,244.45375666666666,,2.353774233333333,,123.83537499999998,,4.3889465,,0.9621045683333332,,696.3846983333333,,0.052123253653331855,,2.537962235762122,
2016-07,285,0,0,0,451.4443166666667,,495.74373166666663,,244.12730666666667,,2.0535320533333334,,123.23273833333333,,3.7940292833333333,,0.9580247933333333,,594.5242533333333,,0.06909462937833648,,2.501925717686177,
2016-08,263,0,0,0,486.9495316666667,,532.9589566666667,,244.56100666666669,,2.1593437116666667,,123.77557499999999,,4.0787523,,0.9603580016666666,,627.6463249999999,,0.05858752159016684,,2.529597928770991,
2016-09,267,0,0,0,516.0800233333333,,561.9850700000001,,248.3819333333333,,2.231539466666667,,124.04136,,4.279407083333334,,0.960866615,,665.5042066666666,,0.055773671834985335,,2.6674695306220815,
2016-10,258,0,0,0,565.1655658333334,,616.0818633333333,,250.4815375,,2.4396459166666666,,124.27195833333334,,4.693597575,,0.96265618,,698.2621658333334,,0.055182861510833923,,2.8796282988539548,
2016-11,229,2,1,0,586.3440466666667,3.2847514596666665,636.6076049999999,7.265359401305,252.45648,160.35154725,2.4862617166666667,0.04291662619930346,124.30554833333333,121.91699083333333,4.86764195,0.4377413933333333,0.9640038366666667,0.07228430442166667,710.264475,566.4037116666667,0.044491162136669496,0.020763655462504894,2.75184166681247,0.05237943368049733
2016-12,207,135,134,131,3.0978503500000003,3.033065233333333,0.0124299658,0.0046395012716666665,1.38335615,1.2857202,0.010275121483333333,0.0034737672500000003,123.31340166666668,123.23539666666667,0.18401927666666668,0.18358538500000002,0.13583771,0.13320005166666665,671.8613533333333,685.3443616666666,0.00114778448673035,0.0010630826802401666,0.017851870358901782,0.01690433651185645
2017-01,183,183,183,183,3.10874595,3.10874595,0.007487921258833334,0.007487921258833334,1.31175008,1.31175008,0.005754274348333334,0.005754274348333334,123.33543166666666,123.33543166666666,0.183181505,0.183181505,0.13695618499999998,0.13695618499999998,652.5497183333333,652.5497183333333,0.0010729758445937629,0.0010729758445937629,0.016821595843588555,0.016821595843588555
2017-02,196,196,196,196,3.141141525,3.141141525,0.014799512400000001,0.014799512400000001,1.2001596766666667,1.2001596766666667,0.012604720791666666,0.012604720791666666,123.41953083333334,123.41953083333334,0.18291646833333336,0.18291646833333336,0.13825457166666666,0.13825457166666666,666.7369825000001,666.7369825000001,0.001049853877484613,0.001049853877484613,0.017257683049661653,0.017257683049661653
2017-03,233,233,233,233,3.1407159166666667,3.1407159166666667,0.02075462765,0.02075462765,1.1473446550000002,1.1473446550000002,0.017580135766666668,0.017580135766666668,123.47326666666666,123.47326666666666,0.182802405,0.182802405,0.13863103666666668,0.13863103666666668,717.3374783333333,717.3374783333333,0.0010795865074268833,0.0010795865074268833,0.01722485099565477,0.01722485099565477
2017-04,260,260,260,260,3.141579533333333,3.141579533333333,0.02137602315,0.02137602315,1.1688267141666666,1.1688267141666666,0.017815155266666667,0.017815155266666667,123.2913875,123.2913875,0.18239502500000002,0.18239502500000002,0.1385417333333333,0.1385417333333333,666.3414683333333,666.3414683333333,0.0010744260313713997,0.0010744260313713997,0.017336014970073595,0.017336014970073595
2017-05,257,257,256,257,3.143123233333333,3.143123233333333,0.02675080883333333,0.02675080883333333,1.1388972116666667,1.1388972116666667,0.0233120745,0.0233120745,123.21947333333333,123.21947333333333,0.18217366166666665,0.18217366166666665,0.13941203833333335,0.13941203833333335,618.44571,618.44571,0.0011025559484592324,0.0011025559484592324,0.01759723332246675,0.01759723332246675
2017-06,258,258,258,258,3.123454641666666,3.123454641666666,0.030337506166666667,0.030337506166666667,0.9868136966666667,0.9868136966666667,0.03161069825,0.03161069825,122.4755925,122.4755925,0.1809582725,0.1809582725,0.14032828249999998,0.14032828249999998,616.3105333333334,616.3105333333334,0.0011705551153501585,0.0011705551153501585,0.017395209574434366,0.017395209574434366
2017-07,249,249,249,249,3.104693416666667,3.104693416666667,0.030938104166666664,0.030938104166666664,0.964917655,0.964917655,0.033397638333333333,0.033397638333333333,122.11729666666666,122.11729666666666,0.180040535,0.180040535,0.14073252666666666,0.14073252666666666,595.3737233333334,595.3737233333334,0.0011691664975148495,0.0011691664975148495,0.017164678900307307,0.017164678900307307
2017-08,256,256,256,256,3.1317394083333334,3.1317394083333334,0.03219401866666667,0.03219401866666667,1.0665128391666667,1.0665128391666667,0.031064728333333333,0.031064728333333333,122.81280916666668,122.81280916666668,0.18112088666666668,0.18112088666666668,0.14041851,0.14041851,629.4220391666668,629.4220391666668,0.0011465462019865167,0.0011465462019865167,0.017262576598950967,0.017262576598950967
2017-09,224,224,224,224,3.141755933333333,3.141755933333333,0.029677884083333335,0.029677884083333335,1.1047476608333333,1.1047476608333333,0.027438844166666667,0.027438844166666667,122.85146833333334,122.85146833333334,0.18128202666666665,0.18128202666666665,0.14038962500000002,0.14038962500000002,622.5925583333333,622.5925583333333,0.0011188479081368414,0.0011188479081368414,0.017153043897808216,0.017153043897808216
