horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events,site,case_id,population,method,reference_case,window
1,301,0.03980700037699228,0.06409767623197712,0.4717607973421927,0.7873754152823921,0.8870431893687708,0.3036061874454177,47,reserve10,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,298,0.05259897147452195,0.09110815067929957,0.412751677852349,0.7416107382550335,0.8557046979865772,0.40019411362537466,46,reserve10,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.05925718509681427,0.10746268400914379,0.40404040404040403,0.6936026936026936,0.8619528619528619,0.4199438267906385,45,reserve10,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,297,0.062444256256878786,0.11985454722046268,0.4074074074074074,0.6936026936026936,0.8417508417508418,0.4217319419415746,44,reserve10,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.03996722966423235,0.0644477697855904,0.47157190635451507,0.7892976588628763,0.8862876254180602,0.30334418519067907,47,reserve10,clean,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
2,296,0.052529884513583924,0.09120826531937389,0.4155405405405405,0.7466216216216216,0.8581081081081081,0.39807774788622524,46,reserve10,clean,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
3,296,0.05900383671273576,0.10682399167561882,0.40540540540540543,0.6959459459459459,0.8648648648648649,0.4188636328029821,45,reserve10,clean,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
4,297,0.062444256256878786,0.11985454722046268,0.4074074074074074,0.6936026936026936,0.8417508417508418,0.4217319419415746,44,reserve10,clean,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
1,301,0.05039966590244235,0.08741375190395467,0.5116279069767442,0.7973421926910299,0.9401993355481728,0.43842123221442275,47,reserve10,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,298,0.05707783336150787,0.10221151021647676,0.4798657718120805,0.7818791946308725,0.8859060402684564,0.4388873656794682,46,reserve10,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.06071857007749651,0.11484145954726092,0.4006734006734007,0.7205387205387206,0.8653198653198653,0.43735927941782404,45,reserve10,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,297,0.0625859597893646,0.1211143702719192,0.41414141414141414,0.7003367003367004,0.8484848484848485,0.4245355816659865,44,reserve10,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.04978230376302959,0.08654238925459716,0.5150501672240803,0.802675585284281,0.9464882943143813,0.43688219288557784,47,reserve10,pv_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
2,296,0.05648773876572818,0.10107759876880268,0.4831081081081081,0.7871621621621622,0.8918918918918919,0.4368883168160914,46,reserve10,pv_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
3,296,0.06039303250017756,0.11400960455405504,0.40202702702702703,0.722972972972973,0.8682432432432432,0.4363005250784669,45,reserve10,pv_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
4,297,0.0625859597893646,0.1211143702719192,0.41414141414141414,0.7003367003367004,0.8484848484848485,0.4245355816659865,44,reserve10,pv_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
1,301,0.04773639614087564,0.07777274027528659,0.5116279069767442,0.8538205980066446,0.9269102990033222,0.383641956364733,47,reserve10,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,298,0.058765017900048365,0.10586635199857265,0.436241610738255,0.7416107382550335,0.8624161073825504,0.4353846048817729,46,reserve10,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.06434811424130084,0.12155241574694675,0.3838383838383838,0.7104377104377104,0.8787878787878788,0.45140335151933453,45,reserve10,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,297,0.06617129676710813,0.12839804941533126,0.4006734006734007,0.734006734006734,0.8686868686868687,0.4553108254639042,44,reserve10,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.047888213152933796,0.07815008906866108,0.5150501672240803,0.8528428093645485,0.9264214046822743,0.3834449358862592,47,reserve10,irradiance_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
2,296,0.05860719505477039,0.10578332863301365,0.4391891891891892,0.7466216216216216,0.8682432432432432,0.4333858265800378,46,reserve10,irradiance_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
3,296,0.06402766061574713,0.1209521307031832,0.38513513513513514,0.7128378378378378,0.8817567567567568,0.45040516712588524,45,reserve10,irradiance_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
4,297,0.06617129676710813,0.12839804941533126,0.4006734006734007,0.734006734006734,0.8686868686868687,0.4553108254639042,44,reserve10,irradiance_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
1,301,0.06970846141928175,0.1389758663068556,0.5049833887043189,0.7906976744186046,0.9136212624584718,0.5129707786401817,47,reserve10,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,298,0.06818513594840477,0.13752853152221994,0.4697986577181208,0.7550335570469798,0.8791946308724832,0.4730595609160716,46,reserve10,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.06764361104782105,0.1359482289270497,0.43097643097643096,0.7239057239057239,0.8888888888888888,0.4665905980348166,45,reserve10,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,297,0.066962611151015,0.13216526579252993,0.42424242424242425,0.7138047138047138,0.8619528619528619,0.4564779858711298,44,reserve10,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.06901352499325965,0.13698504888079102,0.5083612040133779,0.7959866220735786,0.9163879598662207,0.5112710390283635,47,reserve10,joint_immediate,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
2,296,0.0673351440518751,0.13513222268771877,0.47297297297297297,0.7601351351351351,0.8851351351351351,0.4711065904019986,46,reserve10,joint_immediate,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
3,296,0.06725222435978391,0.13516038828829968,0.43243243243243246,0.7263513513513513,0.8918918918918919,0.4656141562621701,45,reserve10,joint_immediate,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
4,297,0.066962611151015,0.13216526579252993,0.42424242424242425,0.7138047138047138,0.8619528619528619,0.4564779858711298,44,reserve10,joint_immediate,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
1,301,0.06970846141928175,0.1389758663068556,0.5049833887043189,0.7906976744186046,0.9136212624584718,0.5129707786401817,47,reserve10,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,298,0.06818513594840477,0.13752853152221994,0.4697986577181208,0.7550335570469798,0.8791946308724832,0.4730595609160716,46,reserve10,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.06764361104782105,0.1359482289270497,0.43097643097643096,0.7239057239057239,0.8888888888888888,0.4665905980348166,45,reserve10,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,297,0.066962611151015,0.13216526579252993,0.42424242424242425,0.7138047138047138,0.8619528619528619,0.4564779858711298,44,reserve10,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.06901352499325965,0.13698504888079102,0.5083612040133779,0.7959866220735786,0.9163879598662207,0.5112710390283635,47,reserve10,joint_gradual,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
2,296,0.0673351440518751,0.13513222268771877,0.47297297297297297,0.7601351351351351,0.8851351351351351,0.4711065904019986,46,reserve10,joint_gradual,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
3,296,0.06725222435978391,0.13516038828829968,0.43243243243243246,0.7263513513513513,0.8918918918918919,0.4656141562621701,45,reserve10,joint_gradual,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
4,297,0.066962611151015,0.13216526579252993,0.42424242424242425,0.7138047138047138,0.8619528619528619,0.4564779858711298,44,reserve10,joint_gradual,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
