site,case_id,case_group,horizon,n,events,days,population,endpoint,low_event_support,low_case_support
reserve10,irradiance_first,primary,4,907,47,96,exclude_bright_zero,failure_recovery,False,False
reserve10,irradiance_first,primary,1,3954,47,326,exclude_bright_zero,all,False,False
reserve10,irradiance_first,primary,2,3954,47,325,exclude_bright_zero,all,False,False
reserve10,irradiance_first,primary,3,3954,47,325,exclude_bright_zero,all,False,False
reserve10,irradiance_first,primary,4,3954,47,325,exclude_bright_zero,all,False,False
reserve10,pv_first,primary,1,301,47,62,recorded_ac,outage,False,False
reserve10,pv_first,primary,2,298,46,54,recorded_ac,outage,False,False
reserve10,pv_first,primary,3,297,45,47,recorded_ac,outage,False,False
reserve10,pv_first,primary,4,297,44,46,recorded_ac,outage,False,False
reserve10,pv_first,primary,1,71,27,30,recorded_ac,partial_restoration,True,True
reserve10,pv_first,primary,2,71,28,30,recorded_ac,partial_restoration,True,True
reserve10,pv_first,primary,3,69,28,28,recorded_ac,partial_restoration,True,True
reserve10,pv_first,primary,4,64,25,25,recorded_ac,partial_restoration,True,True
reserve10,pv_first,primary,1,120,29,33,recorded_ac,recovery_0_6,True,True
reserve10,pv_first,primary,2,121,31,32,recorded_ac,recovery_0_6,False,True
reserve10,pv_first,primary,3,120,27,27,recorded_ac,recovery_0_6,True,True
reserve10,pv_first,primary,4,123,27,27,recorded_ac,recovery_0_6,True,True
reserve10,pv_first,primary,1,429,45,68,recorded_ac,recovery_6_24,False,False
reserve10,pv_first,primary,2,428,45,61,recorded_ac,recovery_6_24,False,False
reserve10,pv_first,primary,3,429,45,56,recorded_ac,recovery_6_24,False,False
reserve10,pv_first,primary,4,426,45,56,recorded_ac,recovery_6_24,False,False
reserve10,pv_first,primary,1,549,45,78,recorded_ac,recovery,False,False
reserve10,pv_first,primary,2,549,45,70,recorded_ac,recovery,False,False
reserve10,pv_first,primary,3,549,45,63,recorded_ac,recovery,False,False
reserve10,pv_first,primary,4,549,45,62,recorded_ac,recovery,False,False
reserve10,pv_first,primary,1,921,47,111,recorded_ac,failure_recovery,False,False
reserve10,pv_first,primary,2,918,47,103,recorded_ac,failure_recovery,False,False
reserve10,pv_first,primary,3,915,47,97,recorded_ac,failure_recovery,False,False
reserve10,pv_first,primary,4,910,47,96,recorded_ac,failure_recovery,False,False
reserve10,pv_first,primary,1,3959,47,326,recorded_ac,all,False,False
reserve10,pv_first,primary,2,3959,47,325,recorded_ac,all,False,False
reserve10,pv_first,primary,3,3959,47,325,recorded_ac,all,False,False
reserve10,pv_first,primary,4,3959,47,325,recorded_ac,all,False,False
reserve10,pv_first,primary,1,299,47,62,exclude_bright_zero,outage,False,False
reserve10,pv_first,primary,2,296,46,54,exclude_bright_zero,outage,False,False
reserve10,pv_first,primary,3,296,45,47,exclude_bright_zero,outage,False,False
reserve10,pv_first,primary,4,297,44,46,exclude_bright_zero,outage,False,False
reserve10,pv_first,primary,1,71,27,30,exclude_bright_zero,partial_restoration,True,True
reserve10,pv_first,primary,2,71,28,30,exclude_bright_zero,partial_restoration,True,True
reserve10,pv_first,primary,3,69,28,28,exclude_bright_zero,partial_restoration,True,True
reserve10,pv_first,primary,4,64,25,25,exclude_bright_zero,partial_restoration,True,True
reserve10,pv_first,primary,1,120,29,33,exclude_bright_zero,recovery_0_6,True,True
reserve10,pv_first,primary,2,121,31,32,exclude_bright_zero,recovery_0_6,False,True
reserve10,pv_first,primary,3,120,27,27,exclude_bright_zero,recovery_0_6,True,True
