site,case_id,case_group,horizon,n,events,days,population,endpoint,low_event_support,low_case_support
reserve10,irradiance_only,primary,1,299,47,62,exclude_bright_zero,partial_restoration,False,False
reserve10,irradiance_only,primary,2,296,46,54,exclude_bright_zero,partial_restoration,False,False
reserve10,irradiance_only,primary,3,296,45,47,exclude_bright_zero,partial_restoration,False,False
reserve10,irradiance_only,primary,4,297,44,46,exclude_bright_zero,partial_restoration,False,False
reserve10,irradiance_only,primary,1,135,32,40,exclude_bright_zero,recovery_0_6,False,True
reserve10,irradiance_only,primary,2,130,31,35,exclude_bright_zero,recovery_0_6,False,True
reserve10,irradiance_only,primary,3,125,33,33,exclude_bright_zero,recovery_0_6,False,True
reserve10,irradiance_only,primary,4,120,29,29,exclude_bright_zero,recovery_0_6,True,True
reserve10,irradiance_only,primary,1,411,45,68,exclude_bright_zero,recovery_6_24,False,False
reserve10,irradiance_only,primary,2,416,45,60,exclude_bright_zero,recovery_6_24,False,False
reserve10,irradiance_only,primary,3,422,45,54,exclude_bright_zero,recovery_6_24,False,False
reserve10,irradiance_only,primary,4,426,45,56,exclude_bright_zero,recovery_6_24,False,False
reserve10,irradiance_only,primary,1,546,45,83,exclude_bright_zero,recovery,False,False
reserve10,irradiance_only,primary,2,546,45,75,exclude_bright_zero,recovery,False,False
reserve10,irradiance_only,primary,3,547,45,68,exclude_bright_zero,recovery,False,False
reserve10,irradiance_only,primary,4,546,45,65,exclude_bright_zero,recovery,False,False
reserve10,irradiance_only,primary,1,845,47,107,exclude_bright_zero,failure_recovery,False,False
reserve10,irradiance_only,primary,2,842,47,99,exclude_bright_zero,failure_recovery,False,False
reserve10,irradiance_only,primary,3,843,47,92,exclude_bright_zero,failure_recovery,False,False
reserve10,irradiance_only,primary,4,843,47,91,exclude_bright_zero,failure_recovery,False,False
reserve10,irradiance_only,primary,1,3954,47,326,exclude_bright_zero,all,False,False
reserve10,irradiance_only,primary,2,3954,47,325,exclude_bright_zero,all,False,False
reserve10,irradiance_only,primary,3,3954,47,325,exclude_bright_zero,all,False,False
reserve10,irradiance_only,primary,4,3954,47,325,exclude_bright_zero,all,False,False
reserve10,joint_immediate,primary,1,301,47,62,recorded_ac,outage,False,False
reserve10,joint_immediate,primary,2,298,46,54,recorded_ac,outage,False,False
reserve10,joint_immediate,primary,3,297,45,47,recorded_ac,outage,False,False
reserve10,joint_immediate,primary,4,297,44,46,recorded_ac,outage,False,False
reserve10,joint_immediate,primary,1,135,32,40,recorded_ac,recovery_0_6,False,True
reserve10,joint_immediate,primary,2,130,31,35,recorded_ac,recovery_0_6,False,True
reserve10,joint_immediate,primary,3,125,33,33,recorded_ac,recovery_0_6,False,True
reserve10,joint_immediate,primary,4,120,29,29,recorded_ac,recovery_0_6,True,True
reserve10,joint_immediate,primary,1,412,45,68,recorded_ac,recovery_6_24,False,False
reserve10,joint_immediate,primary,2,418,45,60,recorded_ac,recovery_6_24,False,False
reserve10,joint_immediate,primary,3,424,45,54,recorded_ac,recovery_6_24,False,False
reserve10,joint_immediate,primary,4,429,45,56,recorded_ac,recovery_6_24,False,False
reserve10,joint_immediate,primary,1,547,45,83,recorded_ac,recovery,False,False
reserve10,joint_immediate,primary,2,548,45,75,recorded_ac,recovery,False,False
reserve10,joint_immediate,primary,3,549,45,68,recorded_ac,recovery,False,False
reserve10,joint_immediate,primary,4,549,45,65,recorded_ac,recovery,False,False
reserve10,joint_immediate,primary,1,848,47,107,recorded_ac,failure_recovery,False,False
reserve10,joint_immediate,primary,2,846,47,99,recorded_ac,failure_recovery,False,False
reserve10,joint_immediate,primary,3,846,47,92,recorded_ac,failure_recovery,False,False
reserve10,joint_immediate,primary,4,846,47,91,recorded_ac,failure_recovery,False,False
reserve10,joint_immediate,primary,1,3959,47,326,recorded_ac,all,False,False
reserve10,joint_immediate,primary,2,3959,47,325,recorded_ac,all,False,False
reserve10,joint_immediate,primary,3,3959,47,325,recorded_ac,all,False,False
reserve10,joint_immediate,primary,4,3959,47,325,recorded_ac,all,False,False
reserve10,joint_immediate,primary,1,299,47,62,exclude_bright_zero,outage,False,False
reserve10,joint_immediate,primary,2,296,46,54,exclude_bright_zero,outage,False,False
reserve10,joint_immediate,primary,3,296,45,47,exclude_bright_zero,outage,False,False
reserve10,joint_immediate,primary,4,297,44,46,exclude_bright_zero,outage,False,False
reserve10,joint_immediate,primary,1,135,32,40,exclude_bright_zero,recovery_0_6,False,True
reserve10,joint_immediate,primary,2,130,31,35,exclude_bright_zero,recovery_0_6,False,True
reserve10,joint_immediate,primary,3,125,33,33,exclude_bright_zero,recovery_0_6,False,True
reserve10,joint_immediate,primary,4,120,29,29,exclude_bright_zero,recovery_0_6,True,True
reserve10,joint_immediate,primary,1,411,45,68,exclude_bright_zero,recovery_6_24,False,False
reserve10,joint_immediate,primary,2,416,45,60,exclude_bright_zero,recovery_6_24,False,False
reserve10,joint_immediate,primary,3,422,45,54,exclude_bright_zero,recovery_6_24,False,False
reserve10,joint_immediate,primary,4,426,45,56,exclude_bright_zero,recovery_6_24,False,False
reserve10,joint_immediate,primary,1,546,45,83,exclude_bright_zero,recovery,False,False
reserve10,joint_immediate,primary,2,546,45,75,exclude_bright_zero,recovery,False,False
reserve10,joint_immediate,primary,3,547,45,68,exclude_bright_zero,recovery,False,False
reserve10,joint_immediate,primary,4,546,45,65,exclude_bright_zero,recovery,False,False
reserve10,joint_immediate,primary,1,845,47,107,exclude_bright_zero,failure_recovery,False,False
reserve10,joint_immediate,primary,2,842,47,99,exclude_bright_zero,failure_recovery,False,False
reserve10,joint_immediate,primary,3,843,47,92,exclude_bright_zero,failure_recovery,False,False
reserve10,joint_immediate,primary,4,843,47,91,exclude_bright_zero,failure_recovery,False,False
reserve10,joint_immediate,primary,1,3954,47,326,exclude_bright_zero,all,False,False
reserve10,joint_immediate,primary,2,3954,47,325,exclude_bright_zero,all,False,False
reserve10,joint_immediate,primary,3,3954,47,325,exclude_bright_zero,all,False,False
reserve10,joint_immediate,primary,4,3954,47,325,exclude_bright_zero,all,False,False
reserve10,joint_gradual,primary,1,301,47,62,recorded_ac,outage,False,False
reserve10,joint_gradual,primary,2,298,46,54,recorded_ac,outage,False,False
reserve10,joint_gradual,primary,3,297,45,47,recorded_ac,outage,False,False
reserve10,joint_gradual,primary,4,297,44,46,recorded_ac,outage,False,False
reserve10,joint_gradual,primary,1,135,32,40,recorded_ac,recovery_0_6,False,True
reserve10,joint_gradual,primary,2,130,31,35,recorded_ac,recovery_0_6,False,True
reserve10,joint_gradual,primary,3,125,33,33,recorded_ac,recovery_0_6,False,True
reserve10,joint_gradual,primary,4,120,29,29,recorded_ac,recovery_0_6,True,True
reserve10,joint_gradual,primary,1,412,45,68,recorded_ac,recovery_6_24,False,False
reserve10,joint_gradual,primary,2,418,45,60,recorded_ac,recovery_6_24,False,False
reserve10,joint_gradual,primary,3,424,45,54,recorded_ac,recovery_6_24,False,False
reserve10,joint_gradual,primary,4,429,45,56,recorded_ac,recovery_6_24,False,False
reserve10,joint_gradual,primary,1,547,45,83,recorded_ac,recovery,False,False
reserve10,joint_gradual,primary,2,548,45,75,recorded_ac,recovery,False,False
reserve10,joint_gradual,primary,3,549,45,68,recorded_ac,recovery,False,False
reserve10,joint_gradual,primary,4,549,45,65,recorded_ac,recovery,False,False
reserve10,joint_gradual,primary,1,848,47,107,recorded_ac,failure_recovery,False,False
reserve10,joint_gradual,primary,2,846,47,99,recorded_ac,failure_recovery,False,False
reserve10,joint_gradual,primary,3,846,47,92,recorded_ac,failure_recovery,False,False
reserve10,joint_gradual,primary,4,846,47,91,recorded_ac,failure_recovery,False,False
reserve10,joint_gradual,primary,1,3959,47,326,recorded_ac,all,False,False
reserve10,joint_gradual,primary,2,3959,47,325,recorded_ac,all,False,False
reserve10,joint_gradual,primary,3,3959,47,325,recorded_ac,all,False,False
reserve10,joint_gradual,primary,4,3959,47,325,recorded_ac,all,False,False
reserve10,joint_gradual,primary,1,299,47,62,exclude_bright_zero,outage,False,False
reserve10,joint_gradual,primary,2,296,46,54,exclude_bright_zero,outage,False,False
reserve10,joint_gradual,primary,3,296,45,47,exclude_bright_zero,outage,False,False
reserve10,joint_gradual,primary,4,297,44,46,exclude_bright_zero,outage,False,False
reserve10,joint_gradual,primary,1,135,32,40,exclude_bright_zero,recovery_0_6,False,True
reserve10,joint_gradual,primary,2,130,31,35,exclude_bright_zero,recovery_0_6,False,True
reserve10,joint_gradual,primary,3,125,33,33,exclude_bright_zero,recovery_0_6,False,True
reserve10,joint_gradual,primary,4,120,29,29,exclude_bright_zero,recovery_0_6,True,True
reserve10,joint_gradual,primary,1,411,45,68,exclude_bright_zero,recovery_6_24,False,False
reserve10,joint_gradual,primary,2,416,45,60,exclude_bright_zero,recovery_6_24,False,False
reserve10,joint_gradual,primary,3,422,45,54,exclude_bright_zero,recovery_6_24,False,False
reserve10,joint_gradual,primary,4,426,45,56,exclude_bright_zero,recovery_6_24,False,False
reserve10,joint_gradual,primary,1,546,45,83,exclude_bright_zero,recovery,False,False
reserve10,joint_gradual,primary,2,546,45,75,exclude_bright_zero,recovery,False,False
reserve10,joint_gradual,primary,3,547,45,68,exclude_bright_zero,recovery,False,False
reserve10,joint_gradual,primary,4,546,45,65,exclude_bright_zero,recovery,False,False
reserve10,joint_gradual,primary,1,845,47,107,exclude_bright_zero,failure_recovery,False,False
reserve10,joint_gradual,primary,2,842,47,99,exclude_bright_zero,failure_recovery,False,False
reserve10,joint_gradual,primary,3,843,47,92,exclude_bright_zero,failure_recovery,False,False
reserve10,joint_gradual,primary,4,843,47,91,exclude_bright_zero,failure_recovery,False,False
reserve10,joint_gradual,primary,1,3954,47,326,exclude_bright_zero,all,False,False
reserve10,joint_gradual,primary,2,3954,47,325,exclude_bright_zero,all,False,False
reserve10,joint_gradual,primary,3,3954,47,325,exclude_bright_zero,all,False,False
reserve10,joint_gradual,primary,4,3954,47,325,exclude_bright_zero,all,False,False
reserve10,joint_none,primary,1,301,47,62,recorded_ac,outage,False,False
reserve10,joint_none,primary,2,298,46,54,recorded_ac,outage,False,False
reserve10,joint_none,primary,3,297,45,47,recorded_ac,outage,False,False
reserve10,joint_none,primary,4,297,44,46,recorded_ac,outage,False,False
reserve10,joint_none,primary,1,135,32,40,recorded_ac,recovery_0_6,False,True
reserve10,joint_none,primary,2,130,31,35,recorded_ac,recovery_0_6,False,True
reserve10,joint_none,primary,3,125,33,33,recorded_ac,recovery_0_6,False,True
reserve10,joint_none,primary,4,120,29,29,recorded_ac,recovery_0_6,True,True
reserve10,joint_none,primary,1,412,45,68,recorded_ac,recovery_6_24,False,False
reserve10,joint_none,primary,2,418,45,60,recorded_ac,recovery_6_24,False,False
reserve10,joint_none,primary,3,424,45,54,recorded_ac,recovery_6_24,False,False
reserve10,joint_none,primary,4,429,45,56,recorded_ac,recovery_6_24,False,False
reserve10,joint_none,primary,1,547,45,83,recorded_ac,recovery,False,False
reserve10,joint_none,primary,2,548,45,75,recorded_ac,recovery,False,False
reserve10,joint_none,primary,3,549,45,68,recorded_ac,recovery,False,False
reserve10,joint_none,primary,4,549,45,65,recorded_ac,recovery,False,False
reserve10,joint_none,primary,1,848,47,107,recorded_ac,failure_recovery,False,False
reserve10,joint_none,primary,2,846,47,99,recorded_ac,failure_recovery,False,False
reserve10,joint_none,primary,3,846,47,92,recorded_ac,failure_recovery,False,False
reserve10,joint_none,primary,4,846,47,91,recorded_ac,failure_recovery,False,False
reserve10,joint_none,primary,1,3959,47,326,recorded_ac,all,False,False
reserve10,joint_none,primary,2,3959,47,325,recorded_ac,all,False,False
reserve10,joint_none,primary,3,3959,47,325,recorded_ac,all,False,False
reserve10,joint_none,primary,4,3959,47,325,recorded_ac,all,False,False
reserve10,joint_none,primary,1,299,47,62,exclude_bright_zero,outage,False,False
reserve10,joint_none,primary,2,296,46,54,exclude_bright_zero,outage,False,False
reserve10,joint_none,primary,3,296,45,47,exclude_bright_zero,outage,False,False
reserve10,joint_none,primary,4,297,44,46,exclude_bright_zero,outage,False,False
reserve10,joint_none,primary,1,135,32,40,exclude_bright_zero,recovery_0_6,False,True
reserve10,joint_none,primary,2,130,31,35,exclude_bright_zero,recovery_0_6,False,True
reserve10,joint_none,primary,3,125,33,33,exclude_bright_zero,recovery_0_6,False,True
reserve10,joint_none,primary,4,120,29,29,exclude_bright_zero,recovery_0_6,True,True
reserve10,joint_none,primary,1,411,45,68,exclude_bright_zero,recovery_6_24,False,False
reserve10,joint_none,primary,2,416,45,60,exclude_bright_zero,recovery_6_24,False,False
reserve10,joint_none,primary,3,422,45,54,exclude_bright_zero,recovery_6_24,False,False
reserve10,joint_none,primary,4,426,45,56,exclude_bright_zero,recovery_6_24,False,False
reserve10,joint_none,primary,1,546,45,83,exclude_bright_zero,recovery,False,False
reserve10,joint_none,primary,2,546,45,75,exclude_bright_zero,recovery,False,False
reserve10,joint_none,primary,3,547,45,68,exclude_bright_zero,recovery,False,False
reserve10,joint_none,primary,4,546,45,65,exclude_bright_zero,recovery,False,False
reserve10,joint_none,primary,1,845,47,107,exclude_bright_zero,failure_recovery,False,False
reserve10,joint_none,primary,2,842,47,99,exclude_bright_zero,failure_recovery,False,False
reserve10,joint_none,primary,3,843,47,92,exclude_bright_zero,failure_recovery,False,False
reserve10,joint_none,primary,4,843,47,91,exclude_bright_zero,failure_recovery,False,False
reserve10,joint_none,primary,1,3954,47,326,exclude_bright_zero,all,False,False
reserve10,joint_none,primary,2,3954,47,325,exclude_bright_zero,all,False,False
reserve10,joint_none,primary,3,3954,47,325,exclude_bright_zero,all,False,False
reserve10,joint_none,primary,4,3954,47,325,exclude_bright_zero,all,False,False
reserve10,irradiance_first,primary,1,301,47,62,recorded_ac,outage,False,False
reserve10,irradiance_first,primary,2,298,46,54,recorded_ac,outage,False,False
reserve10,irradiance_first,primary,3,297,45,47,recorded_ac,outage,False,False
reserve10,irradiance_first,primary,4,297,44,46,recorded_ac,outage,False,False
reserve10,irradiance_first,primary,1,71,27,30,recorded_ac,partial_restoration,True,True
reserve10,irradiance_first,primary,2,71,28,30,recorded_ac,partial_restoration,True,True
reserve10,irradiance_first,primary,3,69,28,28,recorded_ac,partial_restoration,True,True
reserve10,irradiance_first,primary,4,64,25,25,recorded_ac,partial_restoration,True,True
reserve10,irradiance_first,primary,1,120,29,33,recorded_ac,recovery_0_6,True,True
reserve10,irradiance_first,primary,2,121,31,32,recorded_ac,recovery_0_6,False,True
reserve10,irradiance_first,primary,3,120,27,27,recorded_ac,recovery_0_6,True,True
reserve10,irradiance_first,primary,4,123,27,27,recorded_ac,recovery_0_6,True,True
reserve10,irradiance_first,primary,1,429,45,68,recorded_ac,recovery_6_24,False,False
reserve10,irradiance_first,primary,2,428,45,61,recorded_ac,recovery_6_24,False,False
reserve10,irradiance_first,primary,3,429,45,56,recorded_ac,recovery_6_24,False,False
reserve10,irradiance_first,primary,4,426,45,56,recorded_ac,recovery_6_24,False,False
reserve10,irradiance_first,primary,1,549,45,78,recorded_ac,recovery,False,False
reserve10,irradiance_first,primary,2,549,45,70,recorded_ac,recovery,False,False
reserve10,irradiance_first,primary,3,549,45,63,recorded_ac,recovery,False,False
reserve10,irradiance_first,primary,4,549,45,62,recorded_ac,recovery,False,False
reserve10,irradiance_first,primary,1,921,47,111,recorded_ac,failure_recovery,False,False
reserve10,irradiance_first,primary,2,918,47,103,recorded_ac,failure_recovery,False,False
reserve10,irradiance_first,primary,3,915,47,97,recorded_ac,failure_recovery,False,False
reserve10,irradiance_first,primary,4,910,47,96,recorded_ac,failure_recovery,False,False
reserve10,irradiance_first,primary,1,3959,47,326,recorded_ac,all,False,False
reserve10,irradiance_first,primary,2,3959,47,325,recorded_ac,all,False,False
reserve10,irradiance_first,primary,3,3959,47,325,recorded_ac,all,False,False
reserve10,irradiance_first,primary,4,3959,47,325,recorded_ac,all,False,False
reserve10,irradiance_first,primary,1,299,47,62,exclude_bright_zero,outage,False,False
reserve10,irradiance_first,primary,2,296,46,54,exclude_bright_zero,outage,False,False
reserve10,irradiance_first,primary,3,296,45,47,exclude_bright_zero,outage,False,False
reserve10,irradiance_first,primary,4,297,44,46,exclude_bright_zero,outage,False,False
reserve10,irradiance_first,primary,1,71,27,30,exclude_bright_zero,partial_restoration,True,True
reserve10,irradiance_first,primary,2,71,28,30,exclude_bright_zero,partial_restoration,True,True
reserve10,irradiance_first,primary,3,69,28,28,exclude_bright_zero,partial_restoration,True,True
reserve10,irradiance_first,primary,4,64,25,25,exclude_bright_zero,partial_restoration,True,True
reserve10,irradiance_first,primary,1,120,29,33,exclude_bright_zero,recovery_0_6,True,True
reserve10,irradiance_first,primary,2,121,31,32,exclude_bright_zero,recovery_0_6,False,True
reserve10,irradiance_first,primary,3,120,27,27,exclude_bright_zero,recovery_0_6,True,True
reserve10,irradiance_first,primary,4,123,27,27,exclude_bright_zero,recovery_0_6,True,True
reserve10,irradiance_first,primary,1,426,45,68,exclude_bright_zero,recovery_6_24,False,False
reserve10,irradiance_first,primary,2,425,45,61,exclude_bright_zero,recovery_6_24,False,False
reserve10,irradiance_first,primary,3,426,45,56,exclude_bright_zero,recovery_6_24,False,False
reserve10,irradiance_first,primary,4,423,45,56,exclude_bright_zero,recovery_6_24,False,False
reserve10,irradiance_first,primary,1,546,45,78,exclude_bright_zero,recovery,False,False
reserve10,irradiance_first,primary,2,546,45,70,exclude_bright_zero,recovery,False,False
reserve10,irradiance_first,primary,3,546,45,63,exclude_bright_zero,recovery,False,False
reserve10,irradiance_first,primary,4,546,45,62,exclude_bright_zero,recovery,False,False
reserve10,irradiance_first,primary,1,916,47,111,exclude_bright_zero,failure_recovery,False,False
reserve10,irradiance_first,primary,2,913,47,103,exclude_bright_zero,failure_recovery,False,False
reserve10,irradiance_first,primary,3,911,47,97,exclude_bright_zero,failure_recovery,False,False
