year,alignment,pairs,mae_kwh,median_absolute_error_kwh,observed_to_integrated_energy_ratio
2016,current,12035,0.262169090153703,0.11100000000267762,0.9986897803382182
2016,previous,12035,0.26439002908189785,0.11299999998707788,0.9987683389344761
2016,trapezoid,12035,0.1588100124637314,0.0475000000069849,0.9987290580915203
2017,current,11882,0.21787954468945367,0.09199999999837019,0.9998965736201596
2017,previous,11882,0.21787998653427484,0.09099999999627473,1.000057060745581
2017,trapezoid,11882,0.13050895261748968,0.03899999999674031,0.9999768107436916
