year,alignment,month,daylight_hours,paired_daylight_hours,paired_fraction,bright_hours,near_idle_bright_hours,near_idle_bright_fraction,daylight_mean_ac_kw,daylight_mean_poa_w_m2
2016,left,2016-01,279,277,0.992831541218638,85,29,0.3411764705882353,1.1748935018050541,152.62310198555957
2016,left,2016-02,295,293,0.9932203389830508,124,30,0.24193548387096775,2.356616040955631,203.83322184300343
2016,left,2016-03,366,362,0.9890710382513661,173,52,0.30057803468208094,2.0781899171270717,275.14810842541436
2016,left,2016-04,398,396,0.9949748743718593,256,0,0.0,7.04826957070707,382.0366130050504
2016,left,2016-05,465,459,0.9870967741935484,254,5,0.01968503937007874,5.613653594771241,329.70232135076253
2016,left,2016-06,450,445,0.9888888888888889,269,0,0.0,6.057384269662921,359.499041011236
2016,left,2016-07,465,455,0.978494623655914,289,0,0.0,6.308653846153846,373.8482423076923
2016,left,2016-08,433,426,0.9838337182448037,265,0,0.0,5.993776408450705,344.32895774647886
2016,left,2016-09,377,377,1.0,210,0,0.0,5.688385941644562,308.2133978779841
2016,left,2016-10,331,329,0.9939577039274925,151,0,0.0,4.3566550151975685,228.40211854103342
2016,left,2016-11,278,273,0.9820143884892086,47,4,0.0851063829787234,1.667723443223443,115.33879304029304
2016,left,2016-12,279,276,0.989247311827957,38,38,1.0,0.0022644927536231885,92.66265126811595
2016,right,2016-01,279,277,0.992831541218638,85,29,0.3411764705882353,1.1754882671480145,152.69453429602888
2016,right,2016-02,295,293,0.9932203389830508,119,31,0.2605042016806723,2.354994880546075,203.52600597269623
2016,right,2016-03,366,362,0.9890710382513661,174,51,0.29310344827586204,2.0756208563535914,274.85153660220993
2016,right,2016-04,398,396,0.9949748743718593,255,0,0.0,7.05141351010101,382.33934280303026
2016,right,2016-05,465,460,0.989247311827957,251,4,0.01593625498007968,5.593015217391304,328.5571673913044
2016,right,2016-06,450,446,0.9911111111111112,271,0,0.0,6.051470852017937,359.3547197309417
2016,right,2016-07,465,456,0.9806451612903225,289,0,0.0,6.290586622807018,373.04351918859646
2016,right,2016-08,433,426,0.9838337182448037,262,0,0.0,5.988846830985915,344.1171924882629
2016,right,2016-09,377,377,1.0,216,0,0.0,5.68712599469496,308.21930039787804
2016,right,2016-10,331,329,0.9939577039274925,147,0,0.0,4.360165653495441,228.39853723404252
2016,right,2016-11,278,273,0.9820143884892086,43,3,0.06976744186046512,1.6679194139194138,115.15922527472529
2016,right,2016-12,279,276,0.989247311827957,40,40,1.0,0.0023369565217391305,92.57815126811593
2017,left,2017-01,279,276,0.989247311827957,72,61,0.8472222222222222,0.028858695652173912,136.62303894927535
2017,left,2017-02,285,283,0.9929824561403509,123,96,0.7804878048780488,0.5820318021201414,220.49110600706712
2017,left,2017-03,364,362,0.9945054945054945,215,11,0.05116279069767442,4.0232955801104975,312.5986733425415
2017,left,2017-04,396,384,0.9696969696969697,191,2,0.010471204188481676,2.728359375,272.12655403645834
2017,left,2017-05,465,457,0.9827956989247312,227,0,0.0,2.8569474835886215,291.7910875273523
2017,left,2017-06,450,448,0.9955555555555555,289,0,0.0,3.4058465401785716,362.1256640625
2017,left,2017-07,465,449,0.9655913978494624,307,0,0.0,6.209929287305123,402.2464688195991
2017,left,2017-08,434,417,0.9608294930875576,288,0,0.0,6.309904076738609,364.297211031175
2017,left,2017-09,378,370,0.9788359788359788,212,0,0.0,5.337375,295.9170905405405
2017,left,2017-10,331,326,0.9848942598187311,162,0,0.0,4.707316717791412,243.16507131901844
2017,left,2017-11,279,276,0.989247311827957,75,1,0.013333333333333334,2.3734465579710142,140.53727355072462
2017,left,2017-12,279,272,0.974910394265233,62,50,0.8064516129032258,0.4936011029411764,117.301359375
2017,right,2017-01,279,276,0.989247311827957,73,60,0.821917808219178,0.029202898550724634,137.16821195652173
2017,right,2017-02,285,282,0.9894736842105263,122,93,0.7622950819672131,0.5842198581560285,220.41333421985817
2017,right,2017-03,364,362,0.9945054945054945,213,15,0.07042253521126761,4.021914364640884,312.40756975138123
2017,right,2017-04,396,384,0.9696969696969697,198,2,0.010101010101010102,2.7321354166666665,272.64554427083334
2017,right,2017-05,465,458,0.9849462365591398,226,0,0.0,2.8552445414847156,291.5863144104804
2017,right,2017-06,450,448,0.9955555555555555,285,0,0.0,3.4062929687500003,362.27570033482147
2017,right,2017-07,465,449,0.9655913978494624,303,0,0.0,6.214762249443207,402.7387216035634
2017,right,2017-08,434,418,0.9631336405529954,282,0,0.0,6.31714114832536,364.7893187799043
2017,right,2017-09,378,369,0.9761904761904762,214,0,0.0,5.348024390243903,296.3205474254743
2017,right,2017-10,331,326,0.9848942598187311,162,0,0.0,4.707930214723927,243.10878834355827
2017,right,2017-11,279,276,0.989247311827957,70,1,0.014285714285714285,2.343863224637681,139.2140606884058
2017,right,2017-12,279,272,0.974910394265233,61,49,0.8032786885245902,0.49347242647058814,117.13733272058823
