measured_on,metric_id,value,reason,source_year
2016-11-23 07:55:50,3015,0.02,off_quarter_hour_grid,2016
2016-11-25 21:15:24,3018,0.0,off_quarter_hour_grid,2016
2016-11-25 21:15:24,3022,98619.203,off_quarter_hour_grid,2016
2016-11-25 06:26:17,3018,0.785,off_quarter_hour_grid,2016
2016-11-25 21:15:24,3015,0.0,off_quarter_hour_grid,2016
2016-11-26 02:45:12,3015,0.0,off_quarter_hour_grid,2016
2016-11-26 21:25:46,3018,1.396,off_quarter_hour_grid,2016
2016-11-26 02:45:12,3022,98619.266,off_quarter_hour_grid,2016
2016-11-26 02:45:12,3018,0.0,off_quarter_hour_grid,2016
2016-11-28 21:23:53,3015,0.0,off_quarter_hour_grid,2016
2016-11-28 21:23:53,3022,98619.367,off_quarter_hour_grid,2016
2016-11-29 21:15:24,3015,0.0,off_quarter_hour_grid,2016
2016-11-29 13:45:24,3018,24.958,off_quarter_hour_grid,2016
2016-11-29 13:45:24,3022,98619.469,off_quarter_hour_grid,2016
2016-11-29 13:45:24,3015,0.0,off_quarter_hour_grid,2016
2016-11-29 21:15:24,3018,0.0,off_quarter_hour_grid,2016
2016-11-29 21:15:24,3022,98619.523,off_quarter_hour_grid,2016
2016-11-03 08:39:17,3018,60.999,off_quarter_hour_grid,2016
2016-11-30 20:30:24,3018,5.236,off_quarter_hour_grid,2016
2016-11-30 20:30:24,3022,98619.664,off_quarter_hour_grid,2016
2016-11-30 20:30:24,3015,0.0,off_quarter_hour_grid,2016
2016-11-07 22:13:10,3018,0.0,off_quarter_hour_grid,2016
2016-11-08 21:25:14,3018,2.094,off_quarter_hour_grid,2016
2016-12-10 11:14:16,3018,143.726,off_quarter_hour_grid,2016
2016-12-10 11:14:16,3022,98621.328,off_quarter_hour_grid,2016
2016-12-10 11:14:16,3015,0.0,off_quarter_hour_grid,2016
2016-12-11 21:15:24,3018,2.356,off_quarter_hour_grid,2016
2016-12-11 21:15:24,3022,98621.57,off_quarter_hour_grid,2016
2016-12-11 21:15:24,3015,0.02,off_quarter_hour_grid,2016
2016-12-12 21:26:30,3015,0.02,off_quarter_hour_grid,2016
2016-12-12 21:26:30,3022,98621.703,off_quarter_hour_grid,2016
2016-12-13 21:15:24,3015,0.02,off_quarter_hour_grid,2016
2016-12-13 21:15:24,3018,2.793,off_quarter_hour_grid,2016
2016-12-13 21:15:24,3022,98621.867,off_quarter_hour_grid,2016
2016-12-14 21:29:29,3015,0.02,off_quarter_hour_grid,2016
2016-12-14 21:29:29,3022,98622.07,off_quarter_hour_grid,2016
2016-12-15 21:30:24,3015,0.02,off_quarter_hour_grid,2016
2016-12-15 21:30:24,3018,1.134,off_quarter_hour_grid,2016
2016-12-15 21:30:24,3022,98622.266,off_quarter_hour_grid,2016
2016-12-16 21:30:30,3018,0.873,off_quarter_hour_grid,2016
2016-12-16 21:30:30,3022,98622.43,off_quarter_hour_grid,2016
2016-12-16 21:30:30,3015,0.0,off_quarter_hour_grid,2016
2016-12-17 21:28:06,3018,0.96,off_quarter_hour_grid,2016
2016-12-18 21:15:24,3018,5.41,off_quarter_hour_grid,2016
2016-12-18 21:15:24,3022,98622.805,off_quarter_hour_grid,2016
2016-12-18 21:15:24,3015,0.02,off_quarter_hour_grid,2016
2016-12-02 13:30:24,3015,0.0,off_quarter_hour_grid,2016
2016-12-02 13:30:24,3018,19.46,off_quarter_hour_grid,2016
2016-12-02 13:30:24,3022,98619.984,off_quarter_hour_grid,2016
2016-12-02 21:26:58,3018,0.436,off_quarter_hour_grid,2016
2016-12-20 21:15:24,3018,0.0,off_quarter_hour_grid,2016
2016-12-20 21:15:24,3022,98623.164,off_quarter_hour_grid,2016
2016-12-20 21:15:24,3015,0.02,off_quarter_hour_grid,2016
2016-12-21 21:25:46,3015,0.02,off_quarter_hour_grid,2016
2016-12-21 21:25:46,3022,98623.344,off_quarter_hour_grid,2016
2016-12-23 21:27:51,3018,1.658,off_quarter_hour_grid,2016
2016-12-25 04:30:24,3018,4.8,off_quarter_hour_grid,2016
2016-12-25 04:30:24,3022,98624.086,off_quarter_hour_grid,2016
2016-12-25 04:30:24,3015,0.02,off_quarter_hour_grid,2016
2016-12-25 21:28:57,3018,0.0,off_quarter_hour_grid,2016
2016-12-26 21:30:03,3018,0.0,off_quarter_hour_grid,2016
