site,population,pool,endpoint,contrast,supported,metric,left_mean,right_mean,difference,ci_lower,ci_upper,relative_difference,relative_ci_lower,relative_ci_upper,strata,paired_rows,eligible_days,calendar_blocks,nonempty_blocks,block_days,bootstrap_replicates,valid_replicates,rejected_fraction,seed
nist,recorded_ac,no_block_augmentation,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0469746136640332,0.0469672088901303,7.404773902951189e-06,-6.095993114248535e-05,9.769795726811009e-05,0.0001576583765127,-0.0012844038626164,0.0019381202556278,4,2305,76,12,12,28,10000,10000,0.0,1358868029
colorado,recorded_ac,no_block_augmentation,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0420275494179706,0.0419892103554076,3.833906256298092e-05,1.0424658828122636e-05,7.165692260012544e-05,0.0009130693870751,0.000251337327359,0.0017153386235799,4,2271,86,48,46,7,10000,10000,0.0,1067161832
colorado,recorded_ac,no_block_augmentation,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0420275494179706,0.0419892103554076,3.833906256298092e-05,1.0598442748744123e-05,7.028852700654405e-05,0.0009130693870751,0.0002580221544729,0.0017147134733881,4,2271,86,24,24,14,10000,10000,0.0,1041934854
colorado,recorded_ac,no_block_augmentation,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0420275494179706,0.0419892103554076,3.833906256298092e-05,1.4296893290421942e-05,6.378573493724253e-05,0.0009130693870751,0.0003429145092144,0.0015386538294084,4,2271,86,12,12,28,10000,10000,0.0,2036330169
nist,recorded_ac,privileged_labels,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0469237249805185,0.0469094722204977,1.4252760020837252e-05,-6.508054969165972e-05,9.25250937489375e-05,0.0003038354376242,-0.0014014253881299,0.0019327865979117,4,2305,76,48,47,7,10000,10000,0.0,550949157
nist,recorded_ac,privileged_labels,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0469237249805185,0.0469094722204977,1.4252760020837252e-05,-5.890478245944939e-05,8.960601009785975e-05,0.0003038354376242,-0.0012542780617578,0.0018653132439272,4,2305,76,24,24,14,10000,10000,0.0,1089456685
nist,recorded_ac,privileged_labels,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0469237249805185,0.0469094722204977,1.4252760020837252e-05,-7.460767736176786e-05,0.0001143493333673,0.0003038354376242,-0.0015943139060044,0.0022808349535835,4,2305,76,12,12,28,10000,10000,0.0,3927082660
colorado,recorded_ac,privileged_labels,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0466820702048308,0.046633287751487,4.878245334381803e-05,1.4267009684421594e-05,8.792698586371494e-05,0.0010460865123596,0.0003124255189087,0.0018797488930385,4,2271,86,48,46,7,10000,10000,0.0,1501214348
colorado,recorded_ac,privileged_labels,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0466820702048308,0.046633287751487,4.878245334381803e-05,1.3310815343927502e-05,8.630829138146361e-05,0.0010460865123596,0.0002785426607717,0.001874335297455,4,2271,86,24,24,14,10000,10000,0.0,3736540484
colorado,recorded_ac,privileged_labels,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0466820702048308,0.046633287751487,4.878245334381803e-05,1.4123295577102638e-05,8.292799948674679e-05,0.0010460865123596,0.0002906639930497,0.0018166938929346,4,2271,86,12,12,28,10000,10000,0.0,1290910458
