site,failure_physical,failure_recovery,relative_failure_difference,signal_5pct,clean_difference,clean_tolerance,clean_pass
nist,0.0519580443206094,0.0519605065793264,4.738936480764022e-05,False,2.558036619379478e-05,0.0009148056312100621,True
colorado,0.056706085848891,0.0566877618706415,-0.0003231395356458242,False,-1.5417723159966146e-06,0.0009202517170065359,True
reserve10,0.0567060438719575,0.0567157581755432,0.0001713098449900873,False,-2.6217329363031894e-06,0.001050803668414986,True
