phase,event_id,difference,contrast,site,scenario
recovery_6_24,44,0.0003589671538627322,physical_recovery_minus_physical,nist,joint_gradual
recovery_6_24,45,0.000407774437559255,physical_recovery_minus_physical,nist,joint_gradual
recovery_6_24,46,0.0007064453711798778,physical_recovery_minus_physical,nist,joint_gradual
recovery_6_24,47,-0.00010498683028873562,physical_recovery_minus_physical,nist,joint_gradual
recovery_6_24,48,7.868619562396311e-05,physical_recovery_minus_physical,nist,joint_gradual
recovery_6_24,49,-0.00017076475423366685,physical_recovery_minus_physical,nist,joint_gradual
recovery_6_24,50,-4.069508666490891e-05,physical_recovery_minus_physical,nist,joint_gradual
recovery_6_24,51,1.135034189734202e-05,physical_recovery_minus_physical,nist,joint_gradual
outage,26,-0.0021405343518010886,physical_minus_recency,nist,joint_gradual
outage,27,-0.00030768053500874624,physical_minus_recency,nist,joint_gradual
outage,28,6.36665965464196e-05,physical_minus_recency,nist,joint_gradual
outage,29,0.0002948535300974762,physical_minus_recency,nist,joint_gradual
outage,30,0.00022284483609335363,physical_minus_recency,nist,joint_gradual
outage,31,-5.293425675407823e-05,physical_minus_recency,nist,joint_gradual
outage,32,-0.00023867335058231961,physical_minus_recency,nist,joint_gradual
outage,33,0.00010370968196686523,physical_minus_recency,nist,joint_gradual
outage,34,0.0001669936181399636,physical_minus_recency,nist,joint_gradual
outage,35,6.0870543154394425e-05,physical_minus_recency,nist,joint_gradual
outage,36,-8.94962562445977e-05,physical_minus_recency,nist,joint_gradual
outage,37,-0.00016590686636335308,physical_minus_recency,nist,joint_gradual
outage,38,-0.00025162567316993056,physical_minus_recency,nist,joint_gradual
outage,39,-0.0021201685442818383,physical_minus_recency,nist,joint_gradual
outage,40,-0.006874521028124573,physical_minus_recency,nist,joint_gradual
outage,42,0.0017227791565284317,physical_minus_recency,nist,joint_gradual
outage,43,0.0006416215560716104,physical_minus_recency,nist,joint_gradual
outage,44,-0.0005585034565979401,physical_minus_recency,nist,joint_gradual
outage,45,0.0004157207092516608,physical_minus_recency,nist,joint_gradual
outage,46,-0.0013501807197623906,physical_minus_recency,nist,joint_gradual
outage,47,0.0004085748201361778,physical_minus_recency,nist,joint_gradual
outage,48,-0.0012307633332936524,physical_minus_recency,nist,joint_gradual
outage,49,7.370653896866839e-05,physical_minus_recency,nist,joint_gradual
outage,50,-7.897584941394392e-05,physical_minus_recency,nist,joint_gradual
outage,51,1.7750039099570737e-05,physical_minus_recency,nist,joint_gradual
recovery_0_6,26,0.00022338623055428235,physical_minus_recency,nist,joint_gradual
recovery_0_6,27,-0.00020758049188303245,physical_minus_recency,nist,joint_gradual
recovery_0_6,28,0.0005845053039653693,physical_minus_recency,nist,joint_gradual
recovery_0_6,29,6.743803685883987e-05,physical_minus_recency,nist,joint_gradual
