site,method,nwis,nmae,coverage50,coverage80,coverage90,nwidth90
nist,geometric_persistence,0.07163933017012494,0.12402894941621408,0.3920922549621288,0.7584658668836698,0.8824564759047352,0.4609169509850692
nist,multiple_imputation_compact,0.053529316839422345,0.08576572479827863,0.5184450336688914,0.7347602125651086,0.8140247290598669,0.26981015295536576
nist,persistence,0.1019464392962073,0.20121703836229365,0.38580521245129573,0.7537131427085608,0.8887144017626977,0.579994142005891
nist,quantile_flexible,0.048101332945663766,0.08273821890000278,0.38005949208628936,0.6839215380552807,0.8514894621382011,0.36343038715247267
nist,single_imputation_compact,0.05407859841639613,0.0851231503756516,0.5136059170948144,0.723794752507493,0.8010853213548276,0.2593643968255684
colorado,geometric_persistence,0.08339207732600924,0.14442464530229152,0.5092812776178541,0.8111297627223646,0.9152814471817937,0.5958263485266849
colorado,multiple_imputation_compact,0.06313470793022562,0.0974592815954562,0.550483302820615,0.7449691931817537,0.818971621751867,0.308220316809322
colorado,persistence,0.11249363215519077,0.22355017771634736,0.47893302209298394,0.8033079539004987,0.9111837923838375,0.6909747437289375
colorado,quantile_flexible,0.053779297660768166,0.0965046678679542,0.37756248423441113,0.6568516946599753,0.8013117091134423,0.3702575617138685
colorado,single_imputation_compact,0.0633412174413087,0.09721980503964953,0.5492376480279004,0.7407860479155284,0.8147598791077759,0.30430060479255366
