site,phase,contrast,events,mean_nwis_difference,ci_lower,ci_upper
nist,recovery_0_6,joint_gradual_minus_immediate__geometric_persistence,23,0.0,0.0,0.0
nist,recovery_0_6,joint_gradual_minus_immediate__multiple_imputation_compact,23,0.0006805906444491477,-0.0003429541420623393,0.0019857432940894636
nist,recovery_0_6,joint_gradual_minus_immediate__persistence,23,0.0,0.0,0.0
nist,recovery_0_6,joint_gradual_minus_immediate__quantile_flexible,23,0.0006753505225494448,-0.0013200395924885737,0.002643774508526587
nist,recovery_0_6,joint_gradual_minus_immediate__single_imputation_compact,23,-0.0001233139032975023,-0.0013203807949031979,0.0010752420156259102
nist,recovery_0_6,joint_none_minus_immediate__geometric_persistence,23,0.0,0.0,0.0
nist,recovery_0_6,joint_none_minus_immediate__multiple_imputation_compact,23,0.003564816509359542,-0.0004809810252160661,0.008311937676905587
nist,recovery_0_6,joint_none_minus_immediate__persistence,23,0.0,0.0,0.0
nist,recovery_0_6,joint_none_minus_immediate__quantile_flexible,23,0.007468622101143308,0.0003910135659487802,0.015213362007145733
nist,recovery_0_6,joint_none_minus_immediate__single_imputation_compact,23,0.0007279787403824438,-0.0022910048656640935,0.004381165537911574
nist,recovery_6_24,MI_minus_SI_compact,26,0.0005392595942532964,9.51585537686044e-06,0.0011629439441691865
nist,recovery_6_24,MI_minus_SI_flexible,26,0.00032040322279847046,-0.00028832281958784804,0.0010401790783137266
nist,recovery_6_24,joint_gradual_minus_immediate__geometric_persistence,26,0.0,0.0,0.0
nist,recovery_6_24,joint_gradual_minus_immediate__multiple_imputation_compact,26,0.0,0.0,0.0
nist,recovery_6_24,joint_gradual_minus_immediate__persistence,26,0.0,0.0,0.0
nist,recovery_6_24,joint_gradual_minus_immediate__quantile_flexible,26,0.0,0.0,0.0
nist,recovery_6_24,joint_gradual_minus_immediate__single_imputation_compact,26,0.0,0.0,0.0
nist,recovery_6_24,joint_none_minus_immediate__geometric_persistence,26,0.0,0.0,0.0
nist,recovery_6_24,joint_none_minus_immediate__multiple_imputation_compact,26,0.0024813127522910045,-0.0006996466214738505,0.005621603266054387
nist,recovery_6_24,joint_none_minus_immediate__persistence,26,0.0,0.0,0.0
nist,recovery_6_24,joint_none_minus_immediate__quantile_flexible,26,0.010516304413873924,0.0061216457943956935,0.015479721483119277
nist,recovery_6_24,joint_none_minus_immediate__single_imputation_compact,26,0.0011460994806696393,-0.0016347323304146582,0.0036751676361417417
