site,phase,method,nwis,coverage90,nwidth90
nist,normal,geometric_persistence,0.06754016619622269,0.8933762430383717,0.4632722668031913
nist,normal,multiple_imputation_compact,0.05156835894223832,0.816361790467877,0.26142576709557613
nist,normal,persistence,0.09834240451906348,0.9013607799310495,0.5843395206853762
nist,normal,quantile_flexible,0.04615336675756394,0.861727927387151,0.3590693878862355
nist,normal,single_imputation_compact,0.05154874567069401,0.812805248754108,0.2589998016478997
nist,outage,geometric_persistence,0.1428979406862587,0.6777325795182938,0.41309068936150856
nist,outage,multiple_imputation_compact,0.09518569441645605,0.7476213458356316,0.4194886976879494
nist,outage,persistence,0.1611838260984964,0.6929123000551571,0.5068325967895143
nist,outage,quantile_flexible,0.07972299295249832,0.7491956241956241,0.4406615867040725
nist,outage,single_imputation_compact,0.10933851968822375,0.5506756756756757,0.2651206939367906
nist,partial_restoration,geometric_persistence,0.1102044972683926,0.7728101678994537,0.42728045282427524
nist,partial_restoration,multiple_imputation_compact,0.060891984007963265,0.8067352330745188,0.3072253298218703
nist,partial_restoration,persistence,0.13121792991434425,0.7978833425261996,0.529220342872685
nist,partial_restoration,quantile_flexible,0.0632632867012163,0.7575603959532531,0.3906927831118315
nist,partial_restoration,single_imputation_compact,0.06160525017516924,0.7612236942594085,0.25759257925024975
nist,recovery_0_6,geometric_persistence,0.06752507107591746,0.8803159340659341,0.4098256140644268
nist,recovery_0_6,multiple_imputation_compact,0.052959455983734825,0.8112519920555634,0.25393327643819813
nist,recovery_0_6,persistence,0.09432221867699045,0.8862536570572285,0.5261439868225997
nist,recovery_0_6,quantile_flexible,0.04662810314869693,0.7967368345939774,0.3180027417069259
nist,recovery_0_6,single_imputation_compact,0.05253883962905035,0.8065642987964416,0.25074934445184105
nist,recovery_6_24,geometric_persistence,0.06705501265795878,0.9077622217075857,0.4851247823970275
nist,recovery_6_24,multiple_imputation_compact,0.04951911354734122,0.8297796167220483,0.26911785826794826
nist,recovery_6_24,persistence,0.10141032816826064,0.8928530047316612,0.603884450403057
nist,recovery_6_24,quantile_flexible,0.04691588932623796,0.8507586281266291,0.3744792935604025
nist,recovery_6_24,single_imputation_compact,0.048879746210135466,0.8256404157789666,0.26279512917699094
colorado,normal,geometric_persistence,0.07912792769570959,0.9273900619869033,0.5968864772768603
colorado,normal,multiple_imputation_compact,0.0628881595789155,0.8170132923188917,0.3036539530729216
colorado,normal,persistence,0.10817120333796897,0.9243072697768713,0.6931148186464335
colorado,normal,quantile_flexible,0.05289323399326308,0.7976831469794532,0.36533766665454054
colorado,normal,single_imputation_compact,0.06287726795622212,0.817031460923543,0.30359076743254615
colorado,outage,geometric_persistence,0.14756807663563315,0.7160006745920058,0.5467382380464367
colorado,outage,multiple_imputation_compact,0.06778969660319782,0.841372174866757,0.3834720392326894
colorado,outage,persistence,0.17143912770106545,0.709688380934511,0.608988842457873
colorado,outage,quantile_flexible,0.06080568926170238,0.8594956922162804,0.44597557119339903
colorado,outage,single_imputation_compact,0.07144317483868359,0.7583570110659894,0.3091110496666108
colorado,partial_restoration,geometric_persistence,0.14429193418423797,0.7670225152326545,0.5763701420766554
colorado,partial_restoration,multiple_imputation_compact,0.06049131071592897,0.8357690123605371,0.3281542864734887
colorado,partial_restoration,persistence,0.16379255912238058,0.7663796843363407,0.6584628086843254
colorado,partial_restoration,quantile_flexible,0.061525157395047485,0.852728707193684,0.44532836606442633
colorado,partial_restoration,single_imputation_compact,0.0623108104547533,0.8110969136027185,0.31001665579701887
colorado,recovery_0_6,geometric_persistence,0.07574732181569363,0.9329737333032755,0.6096112600710326
colorado,recovery_0_6,multiple_imputation_compact,0.05802254839003363,0.8447572305712117,0.3074542494225539
colorado,recovery_0_6,persistence,0.12054038139619391,0.9106013359439646,0.7452471879710478
colorado,recovery_0_6,quantile_flexible,0.05181147348880909,0.8256204879001586,0.37558023210029473
colorado,recovery_0_6,single_imputation_compact,0.05878813622405648,0.8381890553214433,0.30415612459792646
colorado,recovery_6_24,geometric_persistence,0.08255359099161831,0.9247321808851913,0.6074890644061354
colorado,recovery_6_24,multiple_imputation_compact,0.06526733182193531,0.8115912141067281,0.30871796246164906
colorado,recovery_6_24,persistence,0.10984342781853389,0.9207055583088175,0.6979149802853775
colorado,recovery_6_24,quantile_flexible,0.05809480569634825,0.7828098649261152,0.3653063977446526
colorado,recovery_6_24,single_imputation_compact,0.06543684515032415,0.8106615129877505,0.30702355976047807
