phase,event_id,difference,contrast,site
recovery_6_24,34,0.0010358575935762455,MI_minus_SI_compact,nist
recovery_6_24,35,0.0018547716016509674,MI_minus_SI_compact,nist
recovery_6_24,36,-9.89743070805735e-05,MI_minus_SI_compact,nist
recovery_6_24,37,0.002120728864854233,MI_minus_SI_compact,nist
recovery_6_24,38,0.0012933839710357992,MI_minus_SI_compact,nist
recovery_6_24,39,-2.395824230591532e-05,MI_minus_SI_compact,nist
recovery_6_24,40,-6.182439402276278e-05,MI_minus_SI_compact,nist
recovery_6_24,41,0.005504847919529698,MI_minus_SI_compact,nist
recovery_6_24,42,-0.00027975173470475354,MI_minus_SI_compact,nist
recovery_6_24,43,-6.937229915324826e-05,MI_minus_SI_compact,nist
recovery_6_24,44,0.0011550460895258657,MI_minus_SI_compact,nist
recovery_6_24,45,6.770324764135816e-05,MI_minus_SI_compact,nist
recovery_6_24,46,0.000505886698374619,MI_minus_SI_compact,nist
recovery_6_24,47,-0.0004953866347457107,MI_minus_SI_compact,nist
recovery_6_24,48,-0.00048335849759059435,MI_minus_SI_compact,nist
recovery_6_24,49,-5.57967402282538e-05,MI_minus_SI_compact,nist
recovery_6_24,50,0.000390144339872638,MI_minus_SI_compact,nist
recovery_6_24,51,-0.000527397959651651,MI_minus_SI_compact,nist
outage,26,-0.037977495552975075,MI_minus_SI_flexible,nist
outage,27,-0.009305889177504849,MI_minus_SI_flexible,nist
outage,28,-0.025278122734475723,MI_minus_SI_flexible,nist
outage,29,-0.009791003640779714,MI_minus_SI_flexible,nist
outage,30,-0.02012287414857782,MI_minus_SI_flexible,nist
outage,31,-0.034996301183403515,MI_minus_SI_flexible,nist
outage,32,0.024798381583133893,MI_minus_SI_flexible,nist
outage,33,-0.013308364710624557,MI_minus_SI_flexible,nist
outage,34,0.0046173251911743145,MI_minus_SI_flexible,nist
outage,35,0.0124570492827475,MI_minus_SI_flexible,nist
outage,36,0.00517025858849182,MI_minus_SI_flexible,nist
outage,37,-0.07983159262353075,MI_minus_SI_flexible,nist
outage,38,-0.05626625908202319,MI_minus_SI_flexible,nist
outage,39,-0.02359024031550999,MI_minus_SI_flexible,nist
outage,40,-6.589772245894055e-06,MI_minus_SI_flexible,nist
outage,42,-0.026113967158767726,MI_minus_SI_flexible,nist
outage,43,-0.005544751186097559,MI_minus_SI_flexible,nist
outage,44,-0.02479272575315441,MI_minus_SI_flexible,nist
outage,45,-0.006112123733434369,MI_minus_SI_flexible,nist
outage,46,-0.05856360097272027,MI_minus_SI_flexible,nist
outage,47,0.0009723130825152644,MI_minus_SI_flexible,nist
outage,48,0.006396924221533373,MI_minus_SI_flexible,nist
outage,49,-0.03325708619154734,MI_minus_SI_flexible,nist
outage,50,0.003496021417732531,MI_minus_SI_flexible,nist
outage,51,-0.012140419228303828,MI_minus_SI_flexible,nist
partial_restoration,26,-0.003454941933680512,MI_minus_SI_flexible,nist
partial_restoration,27,0.0035941760332371736,MI_minus_SI_flexible,nist
partial_restoration,28,-0.007670858178742865,MI_minus_SI_flexible,nist
partial_restoration,29,-0.00213143675884495,MI_minus_SI_flexible,nist
partial_restoration,30,0.0018886981307674603,MI_minus_SI_flexible,nist
partial_restoration,31,0.0016155469062438218,MI_minus_SI_flexible,nist
partial_restoration,32,0.006161111880125742,MI_minus_SI_flexible,nist
partial_restoration,33,-0.004977147930503678,MI_minus_SI_flexible,nist
partial_restoration,34,-0.0049226169472706615,MI_minus_SI_flexible,nist
partial_restoration,35,0.00015915681340859358,MI_minus_SI_flexible,nist
partial_restoration,36,-0.01261536316284652,MI_minus_SI_flexible,nist
partial_restoration,37,-0.003944239589697311,MI_minus_SI_flexible,nist
partial_restoration,38,-0.005843273067963359,MI_minus_SI_flexible,nist
partial_restoration,39,-0.014110366558096783,MI_minus_SI_flexible,nist
partial_restoration,40,-0.018370079390375365,MI_minus_SI_flexible,nist
partial_restoration,42,-0.0169479932825404,MI_minus_SI_flexible,nist
partial_restoration,43,-0.0006697014318598896,MI_minus_SI_flexible,nist
partial_restoration,44,0.0021165499961606905,MI_minus_SI_flexible,nist
partial_restoration,45,0.007693563829186263,MI_minus_SI_flexible,nist
partial_restoration,46,-0.011330848066772987,MI_minus_SI_flexible,nist
partial_restoration,47,0.0013655262024116586,MI_minus_SI_flexible,nist
partial_restoration,48,0.002567512841055129,MI_minus_SI_flexible,nist
partial_restoration,49,0.002647325300764088,MI_minus_SI_flexible,nist
partial_restoration,50,-0.008180955040277313,MI_minus_SI_flexible,nist
partial_restoration,51,0.00012066444528996948,MI_minus_SI_flexible,nist
recovery_0_6,26,-0.0004774132885461564,MI_minus_SI_flexible,nist
recovery_0_6,27,-0.0007060525058870347,MI_minus_SI_flexible,nist
recovery_0_6,28,-0.00125087129573305,MI_minus_SI_flexible,nist
recovery_0_6,29,-0.000739716094681315,MI_minus_SI_flexible,nist
recovery_0_6,30,0.0,MI_minus_SI_flexible,nist
recovery_0_6,31,0.0007203622970163192,MI_minus_SI_flexible,nist
recovery_0_6,32,0.0013335380223362266,MI_minus_SI_flexible,nist
recovery_0_6,33,-0.0007562823337105649,MI_minus_SI_flexible,nist
recovery_0_6,34,6.484731211201355e-05,MI_minus_SI_flexible,nist
recovery_0_6,35,-0.0007531065361756601,MI_minus_SI_flexible,nist
recovery_0_6,36,-0.0025803352204405473,MI_minus_SI_flexible,nist
recovery_0_6,37,0.0008156495563052309,MI_minus_SI_flexible,nist
recovery_0_6,38,0.0003144731339827696,MI_minus_SI_flexible,nist
recovery_0_6,39,-0.0022824973834880496,MI_minus_SI_flexible,nist
recovery_0_6,40,-0.0005444445128182968,MI_minus_SI_flexible,nist
recovery_0_6,41,0.01150928484282134,MI_minus_SI_flexible,nist
recovery_0_6,42,-0.0005991959230627492,MI_minus_SI_flexible,nist
recovery_0_6,43,0.00014940796659107235,MI_minus_SI_flexible,nist
recovery_0_6,44,-0.00045432681770637637,MI_minus_SI_flexible,nist
recovery_0_6,45,0.005747850451645793,MI_minus_SI_flexible,nist
recovery_0_6,46,0.0003963819190002927,MI_minus_SI_flexible,nist
recovery_0_6,47,-0.00015515425560991272,MI_minus_SI_flexible,nist
recovery_0_6,48,0.0009028386229805437,MI_minus_SI_flexible,nist
recovery_0_6,49,-0.0008098713737471373,MI_minus_SI_flexible,nist
recovery_0_6,50,-0.008030949163207261,MI_minus_SI_flexible,nist
recovery_6_24,26,0.00010218017136116037,MI_minus_SI_flexible,nist
recovery_6_24,27,-0.0010250407718933518,MI_minus_SI_flexible,nist
recovery_6_24,28,0.000391753693943174,MI_minus_SI_flexible,nist
recovery_6_24,29,-0.0011561758256728272,MI_minus_SI_flexible,nist
recovery_6_24,30,0.0002673659000130546,MI_minus_SI_flexible,nist
recovery_6_24,31,-0.0019637556371647305,MI_minus_SI_flexible,nist
recovery_6_24,32,-0.00010898159272207364,MI_minus_SI_flexible,nist
recovery_6_24,33,0.005049133025918498,MI_minus_SI_flexible,nist
recovery_6_24,34,0.0004379952072675524,MI_minus_SI_flexible,nist
recovery_6_24,35,0.0026312037017310825,MI_minus_SI_flexible,nist
recovery_6_24,36,-0.00022933912452285325,MI_minus_SI_flexible,nist
recovery_6_24,37,0.001888573562719054,MI_minus_SI_flexible,nist
recovery_6_24,38,0.001244111106800763,MI_minus_SI_flexible,nist
recovery_6_24,39,0.0006723895062813222,MI_minus_SI_flexible,nist
recovery_6_24,40,-0.00030963777502253197,MI_minus_SI_flexible,nist
recovery_6_24,41,0.005668942338661554,MI_minus_SI_flexible,nist
recovery_6_24,42,-0.0008373309936874111,MI_minus_SI_flexible,nist
recovery_6_24,43,-8.710341319525976e-05,MI_minus_SI_flexible,nist
recovery_6_24,44,0.00017572454218273294,MI_minus_SI_flexible,nist
recovery_6_24,45,-0.000494393942820144,MI_minus_SI_flexible,nist
recovery_6_24,46,-0.0006997862007093301,MI_minus_SI_flexible,nist
recovery_6_24,47,-0.000499987472502274,MI_minus_SI_flexible,nist
recovery_6_24,48,-0.0007182628425398929,MI_minus_SI_flexible,nist
recovery_6_24,49,-0.00024005191349869183,MI_minus_SI_flexible,nist
recovery_6_24,50,-0.00031344668947934026,MI_minus_SI_flexible,nist
recovery_6_24,51,-0.0015155947686890027,MI_minus_SI_flexible,nist
outage,26,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,27,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,28,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,29,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,30,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,31,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,32,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,33,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,34,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,35,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
