site,scenario,period,phase,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events
nist,clean,development_evaluation,normal,geometric_persistence,1,2138,0.040102997962322404,0.06432995652550791,0.41019644527595883,0.7773620205799813,0.9069223573433115,0.31297509249310534,0
nist,clean,development_evaluation,normal,geometric_persistence,2,2137,0.06093097775172329,0.10232287562266724,0.4066448291998128,0.7683668694431446,0.8975198876930276,0.4411128926020589,0
nist,clean,development_evaluation,normal,geometric_persistence,3,2137,0.07814856030994151,0.135436231425133,0.39494618624239586,0.7716424894712214,0.8848853532990173,0.5259870515996763,0
nist,clean,development_evaluation,normal,geometric_persistence,4,2137,0.09228305943169791,0.16846401824459578,0.3837154890032756,0.7585400093589144,0.8834815161441273,0.5779680997503112,0
nist,clean,development_evaluation,normal,multiple_imputation_compact,1,2138,0.03643320686276251,0.05661149194739672,0.5902712815715622,0.7722170252572498,0.8419083255378859,0.20102540682898715,0
nist,clean,development_evaluation,normal,multiple_imputation_compact,2,2137,0.04900252669345484,0.07816085831181817,0.5259709873654657,0.7440336920917173,0.8175011698642958,0.2535000347655266,0
nist,clean,development_evaluation,normal,multiple_imputation_compact,3,2137,0.057549216435911585,0.09213191489582048,0.49602246139447825,0.7248479176415535,0.8053345811885821,0.2844524228217489,0
nist,clean,development_evaluation,normal,multiple_imputation_compact,4,2137,0.06435441142964539,0.10314370192207425,0.4805802526906879,0.7056621431913898,0.7945718296677585,0.307918912343996,0
nist,clean,development_evaluation,normal,multiple_imputation_flexible,1,2138,0.03962276320465259,0.05676163106314031,0.4452759588400374,0.6267539756782039,0.696913002806361,0.12633378625935357,0
nist,clean,development_evaluation,normal,multiple_imputation_flexible,2,2137,0.055691409969534894,0.0792925550946877,0.37295273748245206,0.5624707533926064,0.6382779597566682,0.15273675323251837,0
nist,clean,development_evaluation,normal,multiple_imputation_flexible,3,2137,0.0667913011555714,0.09327135040036853,0.3537669630322883,0.5320542817033224,0.6120729995320543,0.16750939920204727,0
nist,clean,development_evaluation,normal,multiple_imputation_flexible,4,2137,0.07574490847818668,0.10429777159259682,0.3401965372016846,0.5021057557323351,0.5816565278427702,0.17458446753778503,0
nist,clean,development_evaluation,normal,persistence,1,2138,0.05914520968922654,0.10955390544718338,0.3961646398503274,0.7773620205799813,0.9130028063610851,0.4139503348356343,0
nist,clean,development_evaluation,normal,persistence,2,2137,0.09307627758561082,0.18166729992900432,0.38324754328497895,0.7707065980346279,0.9064108563406644,0.5756726225191199,0
nist,clean,development_evaluation,normal,persistence,3,2137,0.11494239229467496,0.23225313610351897,0.3907346747777258,0.7533926064576509,0.8928404305100608,0.6533586939975542,0
nist,clean,development_evaluation,normal,persistence,4,2137,0.12835977710847035,0.2627572740032788,0.38558727187646236,0.7468413664014975,0.883949461862424,0.6948175514692753,0
nist,clean,development_evaluation,normal,quantile_compact,1,2138,0.03601951352568965,0.053812942647844204,0.4462114125350795,0.7960710944808232,0.9181478016838166,0.4150144588110094,0
nist,clean,development_evaluation,normal,quantile_compact,2,2137,0.046918119319148556,0.07631399714413888,0.43940102948058024,0.7655591951333646,0.9185774450163781,0.45321042530792516,0
nist,clean,development_evaluation,normal,quantile_compact,3,2137,0.05321292245398472,0.08898302780523965,0.441272812353767,0.828731867103416,0.930276087973795,0.45176071638485205,0
nist,clean,development_evaluation,normal,quantile_compact,4,2137,0.057029888746728596,0.10029824156167413,0.442676649508657,0.788020589611605,0.9424426766495086,0.47482526407867115,0
nist,clean,development_evaluation,normal,quantile_flexible,1,2138,0.034054878651429706,0.0539622780479579,0.3713751169317119,0.7174929840972872,0.8479887745556595,0.2745204307429185,0
nist,clean,development_evaluation,normal,quantile_flexible,2,2137,0.04464186383906248,0.07507001454839142,0.386055217594759,0.6635470285446888,0.8441740758072064,0.3385128840120883,0
nist,clean,development_evaluation,normal,quantile_flexible,3,2137,0.05145654880960242,0.08785891739246868,0.3916705662143191,0.6902199344875994,0.8909686476368741,0.4325295485249832,0
nist,clean,development_evaluation,normal,quantile_flexible,4,2137,0.05582608569583774,0.09945454367384762,0.37201684604585866,0.6747777257838091,0.8427702386523164,0.39031307295987894,0
nist,clean,development_evaluation,normal,single_imputation_compact,1,2138,0.036460661854151734,0.0563764485470724,0.587464920486436,0.7698783910196445,0.8381665107577175,0.1979241242292531,0
nist,clean,development_evaluation,normal,single_imputation_compact,2,2137,0.04891515611581309,0.07779356091831847,0.5250350959288722,0.741693963500234,0.8123537669630323,0.2504701855537432,0
nist,clean,development_evaluation,normal,single_imputation_compact,3,2137,0.05740742748147575,0.09171420561875543,0.4983621899859616,0.7243799719232569,0.8039307440336921,0.28228186729695054,0
nist,clean,development_evaluation,normal,single_imputation_compact,4,2137,0.06432662544259514,0.10290973639860852,0.47964436125409454,0.7028544688816097,0.7912962096396818,0.30625899256321776,0
