site,case_id,method,horizon,recovery_hour_bin,n,nwis,coverage90,events
nist,pv_only,aci_bounded,3,21,24,0.046537471290477674,0.9583333333333334,24
nist,pv_only,aci_bounded,3,22,25,0.03952235732933346,0.96,25
nist,pv_only,aci_bounded,3,23,24,0.0419643128254614,0.9583333333333334,24
nist,pv_only,aci_bounded,4,0,21,0.05144160572818788,1.0,21
nist,pv_only,aci_bounded,4,1,17,0.06433096739120052,0.8823529411764706,17
nist,pv_only,aci_bounded,4,2,21,0.05234909035256995,0.9047619047619048,21
nist,pv_only,aci_bounded,4,3,23,0.05022108919365544,0.9130434782608695,23
nist,pv_only,aci_bounded,4,4,26,0.05956390206743892,0.8076923076923077,26
nist,pv_only,aci_bounded,4,5,25,0.06744584555718465,0.84,25
nist,pv_only,aci_bounded,4,6,26,0.06517326751019795,0.8846153846153846,26
nist,pv_only,aci_bounded,4,7,25,0.05989193221278533,0.92,25
nist,pv_only,aci_bounded,4,8,25,0.05449076262218541,0.92,25
nist,pv_only,aci_bounded,4,9,24,0.05650876736941238,0.9166666666666666,24
nist,pv_only,aci_bounded,4,10,27,0.050572640510675615,0.8888888888888888,27
nist,pv_only,aci_bounded,4,11,23,0.06850863466456798,0.8260869565217391,23
nist,pv_only,aci_bounded,4,12,26,0.06111405941079807,0.8461538461538461,26
nist,pv_only,aci_bounded,4,13,27,0.05511403171188481,0.7407407407407407,27
nist,pv_only,aci_bounded,4,14,24,0.05553630647012588,0.7916666666666666,24
nist,pv_only,aci_bounded,4,15,24,0.05488960956442566,0.8333333333333334,24
nist,pv_only,aci_bounded,4,16,28,0.06347742468126347,0.7857142857142857,28
nist,pv_only,aci_bounded,4,17,25,0.06256241269069601,0.8,25
nist,pv_only,aci_bounded,4,18,23,0.07675417913752722,0.8695652173913043,23
nist,pv_only,aci_bounded,4,19,22,0.08613836650723768,0.8636363636363636,22
nist,pv_only,aci_bounded,4,20,24,0.060812255160450836,0.7916666666666666,24
nist,pv_only,aci_bounded,4,21,25,0.04423637169022921,0.92,25
nist,pv_only,aci_bounded,4,22,24,0.04466987984021653,0.9583333333333334,24
nist,pv_only,aci_bounded,4,23,22,0.055747000875472436,0.9090909090909091,22
nist,pv_only,carry_forward,1,0,25,0.028076627559465887,0.88,25
nist,pv_only,carry_forward,1,1,24,0.024023034828064237,0.875,24
nist,pv_only,carry_forward,1,2,21,0.035427725487858434,0.8571428571428571,21
nist,pv_only,carry_forward,1,3,21,0.028464828505428426,0.9047619047619048,21
nist,pv_only,carry_forward,1,4,17,0.03744667910630659,0.8823529411764706,17
nist,pv_only,carry_forward,1,5,21,0.03630785695143373,0.8095238095238095,21
nist,pv_only,carry_forward,1,6,23,0.0305216299784583,0.9130434782608695,23
nist,pv_only,carry_forward,1,7,26,0.03487362863910171,0.8076923076923077,26
nist,pv_only,carry_forward,1,8,25,0.03810668770744288,0.8,25
nist,pv_only,carry_forward,1,9,26,0.03465229005368389,0.7692307692307693,26
nist,pv_only,carry_forward,1,10,25,0.03052214294715778,0.92,25
nist,pv_only,carry_forward,1,11,25,0.029616729957794942,0.92,25
nist,pv_only,carry_forward,1,12,24,0.031450857237724304,0.9166666666666666,24
nist,pv_only,carry_forward,1,13,27,0.029388022110482442,0.8148148148148148,27
nist,pv_only,carry_forward,1,14,23,0.04361723559301707,0.6956521739130435,23
nist,pv_only,carry_forward,1,15,26,0.028377547976813435,0.8076923076923077,26
nist,pv_only,carry_forward,1,16,27,0.036246437940258384,0.6666666666666666,27
nist,pv_only,carry_forward,1,17,24,0.027627275638178572,0.8333333333333334,24
nist,pv_only,carry_forward,1,18,24,0.026530165264405093,0.8333333333333334,24
nist,pv_only,carry_forward,1,19,28,0.04204663181309963,0.7142857142857143,28
nist,pv_only,carry_forward,1,20,25,0.04317667507657386,0.88,25
nist,pv_only,carry_forward,1,21,23,0.05142184656544386,0.8260869565217391,23
nist,pv_only,carry_forward,1,22,22,0.04199762741512119,0.7727272727272727,22
nist,pv_only,carry_forward,1,23,24,0.03614791673076865,0.875,24
nist,pv_only,carry_forward,2,0,24,0.03966488127067684,0.875,24
nist,pv_only,carry_forward,2,1,21,0.042757254362311356,0.8095238095238095,21
nist,pv_only,carry_forward,2,2,21,0.03547963151880612,1.0,21
nist,pv_only,carry_forward,2,3,17,0.04746623954953763,0.8235294117647058,17
nist,pv_only,carry_forward,2,4,21,0.04674305115595552,0.8095238095238095,21
nist,pv_only,carry_forward,2,5,23,0.040181331696053375,0.9130434782608695,23
nist,pv_only,carry_forward,2,6,26,0.04776057097764492,0.8076923076923077,26
nist,pv_only,carry_forward,2,7,25,0.053332360992297136,0.76,25
nist,pv_only,carry_forward,2,8,26,0.0465220813031814,0.8076923076923077,26
nist,pv_only,carry_forward,2,9,25,0.04483155223861735,0.88,25
nist,pv_only,carry_forward,2,10,25,0.035850740280554946,0.92,25
nist,pv_only,carry_forward,2,11,24,0.04677737583233538,0.9166666666666666,24
nist,pv_only,carry_forward,2,12,27,0.04089991103656792,0.8148148148148148,27
nist,pv_only,carry_forward,2,13,23,0.058491652983364284,0.6956521739130435,23
nist,pv_only,carry_forward,2,14,26,0.04494199493878897,0.6923076923076923,26
nist,pv_only,carry_forward,2,15,27,0.04388176526482605,0.5925925925925926,27
nist,pv_only,carry_forward,2,16,24,0.047200365145131394,0.75,24
nist,pv_only,carry_forward,2,17,24,0.036217404002387675,0.8333333333333334,24
nist,pv_only,carry_forward,2,18,28,0.050187161337548296,0.7857142857142857,28
nist,pv_only,carry_forward,2,19,25,0.05446310348199415,0.8,25
nist,pv_only,carry_forward,2,20,23,0.0677067232575794,0.7391304347826086,23
nist,pv_only,carry_forward,2,21,22,0.0664787638371366,0.7727272727272727,22
nist,pv_only,carry_forward,2,22,24,0.04128161494816022,0.875,24
nist,pv_only,carry_forward,2,23,25,0.029524898813605045,0.88,25
nist,pv_only,carry_forward,3,0,21,0.05193755665996259,0.7619047619047619,21
nist,pv_only,carry_forward,3,1,21,0.04420750447322258,0.9523809523809523,21
nist,pv_only,carry_forward,3,2,17,0.055042428506605456,0.8823529411764706,17
nist,pv_only,carry_forward,3,3,21,0.04981368313608163,0.8095238095238095,21
nist,pv_only,carry_forward,3,4,23,0.050364131534889015,0.8260869565217391,23
nist,pv_only,carry_forward,3,5,26,0.055726461742331056,0.7692307692307693,26
nist,pv_only,carry_forward,3,6,25,0.06165571091762333,0.76,25
nist,pv_only,carry_forward,3,7,26,0.05973687563451291,0.7692307692307693,26
nist,pv_only,carry_forward,3,8,25,0.05407986045567857,0.88,25
nist,pv_only,carry_forward,3,9,25,0.05034477221178894,0.92,25
nist,pv_only,carry_forward,3,10,24,0.049177674598225946,0.875,24
nist,pv_only,carry_forward,3,11,27,0.049609164652153794,0.8148148148148148,27
nist,pv_only,carry_forward,3,12,23,0.0658333535941132,0.6521739130434783,23
nist,pv_only,carry_forward,3,13,26,0.056689000228549676,0.7307692307692307,26
nist,pv_only,carry_forward,3,14,27,0.04999634462120407,0.5925925925925926,27
nist,pv_only,carry_forward,3,15,24,0.055473459940940745,0.7083333333333334,24
nist,pv_only,carry_forward,3,16,24,0.054485370442722864,0.7916666666666666,24
nist,pv_only,carry_forward,3,17,28,0.05641576425795663,0.7142857142857143,28
nist,pv_only,carry_forward,3,18,25,0.06031880747504372,0.8,25
nist,pv_only,carry_forward,3,19,23,0.07391998626892325,0.7391304347826086,23
nist,pv_only,carry_forward,3,20,22,0.08343959964141744,0.7727272727272727,22
nist,pv_only,carry_forward,3,21,24,0.049602065416277735,0.7916666666666666,24
nist,pv_only,carry_forward,3,22,25,0.03951094754320325,0.84,25
nist,pv_only,carry_forward,3,23,24,0.040312517766203725,0.7916666666666666,24
nist,pv_only,carry_forward,4,0,21,0.04921579262611201,0.9523809523809523,21
nist,pv_only,carry_forward,4,1,17,0.06922282566724958,0.8823529411764706,17
nist,pv_only,carry_forward,4,2,21,0.05568263782918453,0.8095238095238095,21
nist,pv_only,carry_forward,4,3,23,0.0531182170922669,0.8695652173913043,23
nist,pv_only,carry_forward,4,4,26,0.061388858493606285,0.7307692307692307,26
nist,pv_only,carry_forward,4,5,25,0.06727554718530902,0.76,25
nist,pv_only,carry_forward,4,6,26,0.06583373813175887,0.8076923076923077,26
nist,pv_only,carry_forward,4,7,25,0.05693074464319861,0.92,25
nist,pv_only,carry_forward,4,8,25,0.05187931179105809,0.92,25
nist,pv_only,carry_forward,4,9,24,0.05731603937265738,0.8333333333333334,24
nist,pv_only,carry_forward,4,10,27,0.05309140162783788,0.8518518518518519,27
nist,pv_only,carry_forward,4,11,23,0.07406807390049404,0.6956521739130435,23
nist,pv_only,carry_forward,4,12,26,0.06897979656096956,0.6153846153846154,26
nist,pv_only,carry_forward,4,13,27,0.05893846359812568,0.5925925925925926,27
nist,pv_only,carry_forward,4,14,24,0.05802173548955291,0.7083333333333334,24
nist,pv_only,carry_forward,4,15,24,0.0586061777692472,0.7916666666666666,24
nist,pv_only,carry_forward,4,16,28,0.06782497291930485,0.6428571428571429,28
nist,pv_only,carry_forward,4,17,25,0.06505588908947835,0.8,25
nist,pv_only,carry_forward,4,18,23,0.07801638680064815,0.7391304347826086,23
nist,pv_only,carry_forward,4,19,22,0.08998749165886964,0.7727272727272727,22
nist,pv_only,carry_forward,4,20,24,0.061171517822241374,0.8333333333333334,24
nist,pv_only,carry_forward,4,21,25,0.04564134974537169,0.84,25
nist,pv_only,carry_forward,4,22,24,0.043548041555778155,0.7916666666666666,24
nist,pv_only,carry_forward,4,23,22,0.05751561585916301,0.7727272727272727,22
nist,pv_only,geometric_persistence,1,0,25,0.03175531153440119,0.92,25
nist,pv_only,geometric_persistence,1,1,24,0.03490933351302873,0.875,24
nist,pv_only,geometric_persistence,1,2,21,0.04987556375530736,0.9523809523809523,21
nist,pv_only,geometric_persistence,1,3,21,0.03624130925226495,0.9523809523809523,21
nist,pv_only,geometric_persistence,1,4,17,0.03869691221323898,1.0,17
nist,pv_only,geometric_persistence,1,5,21,0.03280549490387291,0.9523809523809523,21
nist,pv_only,geometric_persistence,1,6,23,0.037454414650788276,1.0,23
nist,pv_only,geometric_persistence,1,7,26,0.03857642343632776,0.9230769230769231,26
nist,pv_only,geometric_persistence,1,8,25,0.04287099039380503,0.92,25
nist,pv_only,geometric_persistence,1,9,26,0.037432751441601894,0.9230769230769231,26
nist,pv_only,geometric_persistence,1,10,25,0.03705211036599356,0.92,25
nist,pv_only,geometric_persistence,1,11,25,0.03320578571948332,0.92,25
nist,pv_only,geometric_persistence,1,12,24,0.04292372283710868,0.9583333333333334,24
nist,pv_only,geometric_persistence,1,13,27,0.028999408658190794,0.9629629629629629,27
nist,pv_only,geometric_persistence,1,14,23,0.053111293466263476,0.9130434782608695,23
nist,pv_only,geometric_persistence,1,15,26,0.03406398621542432,0.9230769230769231,26
nist,pv_only,geometric_persistence,1,16,27,0.04146687754165545,0.9629629629629629,27
nist,pv_only,geometric_persistence,1,17,24,0.0313330937442372,1.0,24
nist,pv_only,geometric_persistence,1,18,24,0.030382955840771938,0.9166666666666666,24
nist,pv_only,geometric_persistence,1,19,28,0.043932644452627886,0.9285714285714286,28
nist,pv_only,geometric_persistence,1,20,25,0.04798022518753344,0.84,25
nist,pv_only,geometric_persistence,1,21,23,0.05226655921140459,0.8695652173913043,23
nist,pv_only,geometric_persistence,1,22,22,0.032719518374301204,1.0,22
nist,pv_only,geometric_persistence,1,23,24,0.04355034286793405,0.9166666666666666,24
nist,pv_only,geometric_persistence,2,0,24,0.056694616057374414,0.9166666666666666,24
nist,pv_only,geometric_persistence,2,1,21,0.06805034633746325,0.9047619047619048,21
nist,pv_only,geometric_persistence,2,2,21,0.05681429918058291,0.9523809523809523,21
nist,pv_only,geometric_persistence,2,3,17,0.060952780214692526,0.9411764705882353,17
nist,pv_only,geometric_persistence,2,4,21,0.05463918918237831,0.9523809523809523,21
nist,pv_only,geometric_persistence,2,5,23,0.05111208288057219,0.9565217391304348,23
nist,pv_only,geometric_persistence,2,6,26,0.05962837434941336,0.9230769230769231,26
nist,pv_only,geometric_persistence,2,7,25,0.06916296257541545,0.92,25
nist,pv_only,geometric_persistence,2,8,26,0.052282022833933,1.0,26
nist,pv_only,geometric_persistence,2,9,25,0.0538954656610278,0.96,25
nist,pv_only,geometric_persistence,2,10,25,0.05233531729410652,0.96,25
nist,pv_only,geometric_persistence,2,11,24,0.06368100336824811,0.9166666666666666,24
nist,pv_only,geometric_persistence,2,12,27,0.04675166949287304,0.9259259259259259,27
nist,pv_only,geometric_persistence,2,13,23,0.07199494831967798,0.9130434782608695,23
nist,pv_only,geometric_persistence,2,14,26,0.06567447806729151,0.7692307692307693,26
nist,pv_only,geometric_persistence,2,15,27,0.06106181135004666,0.9629629629629629,27
nist,pv_only,geometric_persistence,2,16,24,0.07310824839306736,0.875,24
nist,pv_only,geometric_persistence,2,17,24,0.043685172056914766,0.9166666666666666,24
nist,pv_only,geometric_persistence,2,18,28,0.056685825869602836,0.9642857142857143,28
nist,pv_only,geometric_persistence,2,19,25,0.07033773036477155,0.84,25
nist,pv_only,geometric_persistence,2,20,23,0.06960980966053107,0.9130434782608695,23
nist,pv_only,geometric_persistence,2,21,22,0.0538752999958555,1.0,22
nist,pv_only,geometric_persistence,2,22,24,0.051712170876844925,1.0,24
nist,pv_only,geometric_persistence,2,23,25,0.048436853884505596,0.92,25
nist,pv_only,geometric_persistence,3,0,21,0.08463612598157025,0.8571428571428571,21
nist,pv_only,geometric_persistence,3,1,21,0.07664554269462835,0.9523809523809523,21
nist,pv_only,geometric_persistence,3,2,17,0.09350917145830573,0.9411764705882353,17
nist,pv_only,geometric_persistence,3,3,21,0.06984046213575727,0.9047619047619048,21
nist,pv_only,geometric_persistence,3,4,23,0.06878620282108594,0.9565217391304348,23
nist,pv_only,geometric_persistence,3,5,26,0.07363799330701729,0.9230769230769231,26
nist,pv_only,geometric_persistence,3,6,25,0.08896556013182762,0.84,25
nist,pv_only,geometric_persistence,3,7,26,0.07601461749178529,0.9230769230769231,26
nist,pv_only,geometric_persistence,3,8,25,0.07153966843189037,0.92,25
nist,pv_only,geometric_persistence,3,9,25,0.07116461775630652,1.0,25
nist,pv_only,geometric_persistence,3,10,24,0.08735848328483309,0.9583333333333334,24
nist,pv_only,geometric_persistence,3,11,27,0.0645254830076471,0.9629629629629629,27
nist,pv_only,geometric_persistence,3,12,23,0.08558634397943954,0.9130434782608695,23
nist,pv_only,geometric_persistence,3,13,26,0.08359080704571226,0.8076923076923077,26
nist,pv_only,geometric_persistence,3,14,27,0.08327099840720004,0.8888888888888888,27
nist,pv_only,geometric_persistence,3,15,24,0.09206091455956088,0.875,24
nist,pv_only,geometric_persistence,3,16,24,0.08678968624771956,0.875,24
nist,pv_only,geometric_persistence,3,17,28,0.06688719494253935,0.9642857142857143,28
nist,pv_only,geometric_persistence,3,18,25,0.08581729246814165,0.88,25
nist,pv_only,geometric_persistence,3,19,23,0.08411393319892739,0.9130434782608695,23
nist,pv_only,geometric_persistence,3,20,22,0.08000510797594108,0.9090909090909091,22
nist,pv_only,geometric_persistence,3,21,24,0.060213059380444335,1.0,24
nist,pv_only,geometric_persistence,3,22,25,0.05322803466052974,0.96,25
nist,pv_only,geometric_persistence,3,23,24,0.06515209386801048,0.9166666666666666,24
nist,pv_only,geometric_persistence,4,0,21,0.0908179691398797,0.9047619047619048,21
nist,pv_only,geometric_persistence,4,1,17,0.12077492690951326,0.8823529411764706,17
nist,pv_only,geometric_persistence,4,2,21,0.08839533127440975,1.0,21
nist,pv_only,geometric_persistence,4,3,23,0.08116526215210161,0.9130434782608695,23
nist,pv_only,geometric_persistence,4,4,26,0.0840526801628263,0.9230769230769231,26
nist,pv_only,geometric_persistence,4,5,25,0.09927721342238989,0.84,25
nist,pv_only,geometric_persistence,4,6,26,0.09240485483618718,0.8461538461538461,26
nist,pv_only,geometric_persistence,4,7,25,0.08186603668305058,0.96,25
nist,pv_only,geometric_persistence,4,8,25,0.08111343783117571,0.96,25
nist,pv_only,geometric_persistence,4,9,24,0.10244131134746838,0.9583333333333334,24
nist,pv_only,geometric_persistence,4,10,27,0.07693378581786142,0.9629629629629629,27
nist,pv_only,geometric_persistence,4,11,23,0.09586204846211412,0.9130434782608695,23
nist,pv_only,geometric_persistence,4,12,26,0.09122581821461738,0.8076923076923077,26
nist,pv_only,geometric_persistence,4,13,27,0.09722216082438616,0.8148148148148148,27
nist,pv_only,geometric_persistence,4,14,24,0.10918769865648907,0.875,24
nist,pv_only,geometric_persistence,4,15,24,0.10151046296603965,0.8333333333333334,24
nist,pv_only,geometric_persistence,4,16,28,0.09644416165865057,0.8928571428571429,28
nist,pv_only,geometric_persistence,4,17,25,0.09028567496831824,0.92,25
nist,pv_only,geometric_persistence,4,18,23,0.10107632684050545,0.8695652173913043,23
nist,pv_only,geometric_persistence,4,19,22,0.10295810883552904,0.8636363636363636,22
nist,pv_only,geometric_persistence,4,20,24,0.07859642499272439,0.9166666666666666,24
nist,pv_only,geometric_persistence,4,21,25,0.05440840677540106,1.0,25
