site,case_id,method,horizon,recovery_hour_bin,n,nwis,coverage90,events
reserve10,pv_only,aci_bounded,3,19,27,0.05518058654213027,0.8518518518518519,27
reserve10,pv_only,aci_bounded,3,20,27,0.05285613759715913,0.9259259259259259,27
reserve10,pv_only,aci_bounded,3,21,23,0.060408934083816604,0.8695652173913043,23
reserve10,pv_only,aci_bounded,3,22,23,0.07139520596788546,0.8260869565217391,23
reserve10,pv_only,aci_bounded,3,23,25,0.0534835872543534,0.84,25
reserve10,pv_only,aci_bounded,4,0,22,0.043324464324422045,1.0,22
reserve10,pv_only,aci_bounded,4,1,22,0.04582192725765601,1.0,22
reserve10,pv_only,aci_bounded,4,2,20,0.04436230093273017,0.95,20
reserve10,pv_only,aci_bounded,4,3,17,0.05983668579187779,1.0,17
reserve10,pv_only,aci_bounded,4,4,19,0.06149283107865326,1.0,19
reserve10,pv_only,aci_bounded,4,5,20,0.06276950930446339,0.9,20
reserve10,pv_only,aci_bounded,4,6,23,0.058347956260031954,0.9130434782608695,23
reserve10,pv_only,aci_bounded,4,7,21,0.07006818551004518,0.8571428571428571,21
reserve10,pv_only,aci_bounded,4,8,23,0.06197513272589972,0.8695652173913043,23
reserve10,pv_only,aci_bounded,4,9,23,0.056228829744364175,0.9130434782608695,23
reserve10,pv_only,aci_bounded,4,10,23,0.05500281615623154,0.8695652173913043,23
reserve10,pv_only,aci_bounded,4,11,23,0.06509496124927631,0.8260869565217391,23
reserve10,pv_only,aci_bounded,4,12,24,0.059834859397216104,0.875,24
reserve10,pv_only,aci_bounded,4,13,21,0.0807338906270278,0.8095238095238095,21
reserve10,pv_only,aci_bounded,4,14,24,0.06402857648310126,0.875,24
reserve10,pv_only,aci_bounded,4,15,25,0.06814696218751655,0.8,25
reserve10,pv_only,aci_bounded,4,16,24,0.0783020667859648,0.7916666666666666,24
reserve10,pv_only,aci_bounded,4,17,25,0.06925641324720354,0.84,25
reserve10,pv_only,aci_bounded,4,18,27,0.05730300119643562,0.8888888888888888,27
reserve10,pv_only,aci_bounded,4,19,27,0.053420488202493975,0.8518518518518519,27
reserve10,pv_only,aci_bounded,4,20,23,0.06252615880929958,0.9130434782608695,23
reserve10,pv_only,aci_bounded,4,21,23,0.07177100909039297,0.8260869565217391,23
reserve10,pv_only,aci_bounded,4,22,25,0.055912028745603165,0.88,25
reserve10,pv_only,aci_bounded,4,23,25,0.04670040134653067,0.96,25
