site,case_id,case_group,period,phase,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events
reserve10,clean,primary,evaluation,normal,aci_bounded,1,3959,0.03895239063958365,0.0638454784439916,0.5006314725940895,0.8022227835311947,0.9012376862844153,0.30187862762820067,0
reserve10,clean,primary,evaluation,normal,aci_bounded,2,3959,0.05231289611176625,0.08984076565607398,0.5016418287446325,0.7984339479666582,0.8994695630209649,0.40169012716773633,0
reserve10,clean,primary,evaluation,normal,aci_bounded,3,3959,0.058267508930517915,0.10293251575327553,0.49785299318009596,0.7969184137408436,0.9009850972467794,0.43206622788298327,0
reserve10,clean,primary,evaluation,normal,aci_bounded,4,3959,0.06134742374489241,0.11060764603197361,0.4940641576155595,0.8009598383430159,0.9032583985855014,0.4414475528807096,0
reserve10,clean,primary,evaluation,normal,carry_forward,1,3959,0.04145973887979563,0.06677483440562959,0.4160141449861076,0.7011871684768881,0.844152563778732,0.31910421502429714,0
reserve10,clean,primary,evaluation,normal,carry_forward,2,3959,0.053767597096689344,0.09186429006005845,0.3937863096741601,0.6812326345036626,0.8348067693862087,0.38473039885522875,0
reserve10,clean,primary,evaluation,normal,carry_forward,3,3959,0.05986038697268444,0.10576407005125321,0.3867138166203587,0.6809800454660268,0.8186410709775196,0.40096112196352435,0
reserve10,clean,primary,evaluation,normal,carry_forward,4,3959,0.062226393020351316,0.11077454056444631,0.38090426875473604,0.6797171002778479,0.8181358929022481,0.40558228744730535,0
reserve10,clean,primary,evaluation,normal,geometric_persistence,1,3959,0.05165170099211217,0.08001419375801196,0.5423086638039909,0.8590553169992422,0.9421571103814095,0.4766182078785057,0
reserve10,clean,primary,evaluation,normal,geometric_persistence,2,3959,0.07824811834118736,0.13104460531563014,0.5397827734276333,0.8451629199292751,0.931800959838343,0.596460144930769,0
reserve10,clean,primary,evaluation,normal,geometric_persistence,3,3959,0.09950573780006869,0.17635941629050852,0.5294266228845668,0.836574892649659,0.9232129325587269,0.7060798003057419,0
reserve10,clean,primary,evaluation,normal,geometric_persistence,4,3959,0.11556283845899458,0.21430402412677219,0.5271533215458449,0.8259661530689568,0.91765597373074,0.7724368493699157,0
reserve10,clean,primary,evaluation,normal,mask50,1,3959,0.03893442563249341,0.0638454784439916,0.5084617327607982,0.8055064410204598,0.9062894670371305,0.30562317199262357,0
reserve10,clean,primary,evaluation,normal,mask50,2,3959,0.05228324227178285,0.08984076565607398,0.5117453902500632,0.8022227835311947,0.9030058095478656,0.4027756832012461,0
